Year,BC,C,C2H2,C2H4,C2H4O,C2H5OH,C2H6,C2H6S,C3H6,C3H6O,C3H8,C5H8,C6H6,C7H8,C8H10,C10H16,CH2O,CH3COCHO,CH3COOH,CH3OH,CH4,CO,CO2,DM,H2,HCN,HCOOH,HOCH2CHO,Higher_Alkanes,Higher_Alkenes,MEK,N2O,NH3,NMHC,NOx,OC,PM2,SO2,TPC,TPM,Toluene_lump,NMVOC
1997,2.295,3031.0,1.541,7.301,7.533,0.1937,4.431,0.00951,6.726,2.863,0.811,1.755,4.444,2.229,0.381,1.261,7.192,4.422,26.64,16.7,35.78,587.7,10090.0,6058.0,14.39,9.949,2.526,2.961,0.5498,1.252,2.048,1.218,6.01,20.67,18.03,23.97,49.85,2.911,26.31,65.84,6.389,122.10801000000001
1998,2.6,2892.0,1.606,5.889,4.927,0.192,4.858,0.01095,4.784,2.049,0.9427,0.582,2.105,1.044,0.3552,2.103,6.885,4.344,21.95,10.57,19.86,473.4,9800.0,5951.0,12.52,3.451,2.425,2.694,0.679,1.217,1.716,1.293,6.168,24.93,19.06,23.5,50.78,3.247,26.14,64.4,3.214,90.59284999999998
1999,1.925,2226.0,1.213,4.329,3.588,0.1394,3.381,0.00771,3.621,1.346,0.6213,0.413,1.361,0.676,0.2122,1.126,4.825,3.332,16.64,7.5,13.78,341.7,7580.0,4565.0,9.25,2.443,1.647,1.83,0.4341,0.845,1.239,0.93,3.943,18.02,15.61,15.99,36.55,2.35,17.95,46.37,2.062,64.83171
2000,1.649,1894.0,1.014,3.667,2.924,0.1167,2.929,0.00651,3.068,1.096,0.5435,0.331,1.105,0.542,0.1756,0.968,4.053,2.84,14.29,6.24,11.28,288.3,6460.0,3891.0,7.71,1.946,1.381,1.521,0.3868,0.715,1.048,0.797,3.399,15.93,13.43,13.38,31.01,2.017,15.07,39.2,1.672,54.57911
2001,1.668,1962.0,1.019,3.753,2.919,0.1161,2.955,0.00642,3.222,1.044,0.5369,0.35,1.118,0.537,0.1577,0.845,3.972,2.937,14.94,6.31,11.33,292.5,6700.0,4024.0,7.73,2.094,1.326,1.465,0.3787,0.704,1.045,0.812,3.278,16.35,14.24,13.06,31.22,2.049,14.76,39.28,1.661,55.41182
2002,1.993,2343.0,1.233,4.922,4.207,0.1527,3.811,0.00863,4.218,1.696,0.7275,0.654,2.079,1.016,0.2706,1.566,5.37,3.497,18.49,9.29,18.11,394.0,7920.0,4790.0,10.02,3.95,1.829,2.111,0.5166,0.955,1.354,1.026,4.737,19.55,15.33,18.66,40.32,2.575,20.69,51.09,3.072,76.99602999999999
2003,1.934,2199.0,1.156,4.543,3.6,0.1513,3.786,0.00913,3.788,1.551,0.7475,0.472,1.762,0.846,0.27,1.918,5.16,3.303,16.94,8.11,15.36,364.5,7450.0,4525.0,9.17,3.05,1.71,2.026,0.5441,0.93,1.207,1.005,4.694,19.97,14.32,18.66,39.45,2.597,20.63,49.39,2.637,70.21703
2004,1.912,2213.0,1.225,4.451,3.921,0.1369,3.396,0.00725,3.733,1.485,0.6239,0.52,1.601,0.806,0.2315,1.04,4.961,3.303,16.92,8.18,15.55,354.4,7510.0,4525.0,9.59,2.945,1.765,1.915,0.4327,0.863,1.323,0.929,4.162,17.27,15.09,16.13,36.49,2.279,18.08,46.72,2.413,68.19825000000002
2005,1.968,2252.0,1.26,4.488,3.95,0.1379,3.429,0.00721,3.722,1.476,0.6291,0.501,1.516,0.771,0.2316,0.971,5.049,3.365,17.13,8.16,15.35,356.4,7650.0,4610.0,9.76,2.735,1.819,1.935,0.4395,0.874,1.37,0.936,4.213,17.64,15.53,16.05,36.78,2.292,18.06,47.28,2.305,68.27131
2006,1.836,2207.0,1.152,4.842,4.42,0.1438,3.423,0.00777,4.205,1.72,0.6508,0.823,2.259,1.129,0.2588,1.239,5.149,3.271,18.03,9.76,19.63,386.0,7430.0,4480.0,9.75,4.663,1.778,2.036,0.4671,0.905,1.377,0.92,4.398,17.76,14.17,17.21,37.0,2.31,19.08,47.9,3.318,77.02727000000002
2007,1.947,2202.0,1.264,4.267,3.746,0.137,3.3,0.00722,3.469,1.393,0.6005,0.396,1.271,0.658,0.2224,0.958,4.943,3.296,16.21,7.5,13.8,338.8,7500.0,4516.0,9.55,2.151,1.774,1.886,0.4149,0.851,1.315,0.909,3.994,17.02,15.37,15.69,35.99,2.248,17.68,46.25,1.974,64.00402
2008,1.651,1862.0,0.974,3.709,2.863,0.1177,3.04,0.00676,3.077,1.128,0.5868,0.357,1.187,0.577,0.1908,1.165,4.122,2.798,14.39,6.39,11.61,291.9,6330.0,3833.0,7.54,2.059,1.406,1.556,0.4341,0.735,1.058,0.805,3.66,16.87,12.94,13.78,31.27,2.061,15.47,39.52,1.793,55.72015999999999
2009,1.549,1862.0,0.961,3.867,3.33,0.1158,2.819,0.0063,3.37,1.245,0.523,0.557,1.567,0.773,0.1838,0.899,4.053,2.769,14.84,7.32,14.2,304.9,6310.0,3793.0,7.81,3.207,1.371,1.557,0.3717,0.715,1.082,0.768,3.384,15.11,12.67,13.45,30.3,1.933,15.03,38.79,2.3,59.80260000000001
2010,1.91,2150.0,1.235,4.215,3.702,0.136,3.3,0.00726,3.418,1.414,0.6087,0.399,1.321,0.679,0.2303,1.065,4.918,3.22,15.89,7.48,13.88,336.3,7310.0,4411.0,9.4,2.208,1.766,1.893,0.4229,0.85,1.291,0.903,4.062,16.84,14.77,15.85,35.76,2.235,17.8,45.87,2.046,63.71516
2011,1.589,1872.0,0.977,3.703,2.984,0.1143,2.925,0.00638,3.188,1.13,0.5404,0.395,1.296,0.624,0.1751,0.985,3.959,2.8,14.43,6.51,12.11,292.3,6370.0,3836.0,7.6,2.419,1.333,1.502,0.3792,0.704,1.018,0.799,3.388,15.52,13.08,13.42,30.81,1.999,15.04,38.72,1.917,56.014379999999996
2012,1.771,2047.0,1.071,4.196,3.371,0.1339,3.442,0.00784,3.559,1.397,0.664,0.457,1.635,0.783,0.2335,1.531,4.64,3.069,15.89,7.54,14.3,335.7,6940.0,4204.0,8.5,2.91,1.559,1.81,0.4752,0.834,1.127,0.922,4.201,17.88,13.58,16.48,35.76,2.331,18.29,44.76,2.427,64.76244
2013,1.525,1773.0,0.931,3.564,2.867,0.1134,2.87,0.00652,3.027,1.141,0.5439,0.376,1.298,0.625,0.1856,1.155,3.909,2.656,13.64,6.31,11.82,283.2,6020.0,3638.0,7.29,2.347,1.311,1.505,0.3867,0.698,0.97,0.776,3.42,15.15,12.07,13.59,30.15,1.964,15.14,37.86,1.931,54.36712000000001
2014,1.741,2044.0,1.072,4.382,3.801,0.1348,3.339,0.00759,3.753,1.54,0.644,0.631,1.927,0.948,0.2457,1.391,4.777,3.047,16.36,8.46,16.67,350.9,6890.0,4174.0,8.85,3.726,1.637,1.887,0.463,0.849,1.218,0.892,4.239,17.22,13.18,16.49,35.29,2.245,18.27,44.99,2.846,69.08609
