Year,BC,CH4,CO,N2O,NH3,NMVOC,NOx,OC,SO2
1750,1.581,11.317,280.692,0.763,3.389,53.599,12.543,13.218,1.965
1751,1.555,11.103,275.907,0.751,3.312,52.649,12.400,12.952,1.929
1752,1.549,10.994,274.295,0.747,3.269,52.305,12.435,12.822,1.920
1753,1.551,11.087,275.290,0.748,3.313,52.554,12.346,12.933,1.926
1754,1.578,11.361,281.248,0.766,3.437,53.781,12.443,13.302,1.975
1755,1.576,11.238,279.395,0.760,3.356,53.319,12.572,13.095,1.954
1756,1.548,11.110,275.054,0.746,3.332,52.552,12.254,12.956,1.924
1757,1.622,11.526,286.806,0.778,3.439,54.724,12.937,13.427,2.005
1758,1.594,11.316,282.523,0.771,3.377,53.879,12.783,13.230,1.980
1759,1.589,11.402,282.011,0.764,3.418,53.873,12.555,13.283,1.970
1760,1.603,11.583,285.466,0.774,3.498,54.599,12.550,13.554,1.999
1761,1.607,11.468,284.835,0.773,3.434,54.379,12.768,13.387,1.994
1762,1.570,11.337,279.215,0.755,3.417,53.408,12.300,13.214,1.952
1763,1.574,11.302,279.864,0.760,3.404,53.493,12.433,13.209,1.962
1764,1.542,10.914,272.374,0.740,3.234,51.918,12.410,12.665,1.900
1765,1.589,11.413,282.416,0.767,3.431,53.966,12.537,13.349,1.979
1766,1.574,11.213,278.659,0.757,3.346,53.179,12.557,13.020,1.944
1767,1.575,11.222,278.735,0.756,3.347,53.197,12.542,13.055,1.947
1768,1.649,11.774,292.349,0.794,3.525,55.796,13.098,13.745,2.044
1769,1.598,11.442,283.826,0.771,3.442,54.228,12.653,13.377,1.990
1770,1.599,11.438,284.003,0.773,3.432,54.229,12.694,13.378,1.990
1771,1.554,11.088,275.835,0.751,3.308,52.628,12.415,12.938,1.930
1772,1.540,10.935,272.649,0.742,3.253,52.001,12.349,12.744,1.908
1773,1.536,10.960,272.507,0.741,3.271,52.007,12.257,12.786,1.907
1774,1.593,11.475,284.214,0.775,3.477,54.347,12.572,13.439,1.996
1775,1.582,11.264,280.539,0.764,3.362,53.518,12.657,13.135,1.963
1776,1.544,11.077,274.396,0.745,3.325,52.427,12.225,12.928,1.921
1777,1.593,11.320,281.749,0.765,3.376,53.756,12.718,13.183,1.970
1778,1.616,11.449,286.342,0.783,3.418,54.589,12.990,13.392,2.008
1779,1.572,11.252,278.896,0.757,3.365,53.250,12.478,13.102,1.948
1780,1.598,11.543,284.675,0.772,3.487,54.446,12.530,13.503,1.994
1781,1.591,11.352,282.092,0.766,3.400,53.859,12.655,13.248,1.975
1782,1.561,11.276,277.768,0.752,3.399,53.126,12.237,13.144,1.941
1783,1.549,11.144,275.728,0.749,3.360,52.716,12.220,13.028,1.934
1784,1.541,10.912,272.410,0.741,3.237,51.929,12.406,12.670,1.902
1785,1.560,11.218,277.689,0.755,3.371,53.059,12.326,13.134,1.946
1786,1.549,11.071,274.729,0.746,3.308,52.451,12.338,12.856,1.917
1787,1.574,11.235,279.039,0.758,3.357,53.264,12.531,13.089,1.951
1788,1.645,11.760,292.046,0.795,3.525,55.746,13.069,13.743,2.044
1789,1.592,11.407,283.128,0.771,3.435,54.093,12.615,13.358,1.987
1790,1.598,11.445,284.290,0.775,3.436,54.282,12.700,13.404,1.994
1791,1.553,11.090,275.892,0.752,3.312,52.643,12.404,12.953,1.931
1792,1.546,10.964,274.054,0.748,3.261,52.247,12.449,12.806,1.921
1793,1.533,10.954,272.410,0.742,3.272,51.993,12.238,12.800,1.909
1794,1.594,11.491,284.669,0.778,3.484,54.438,12.579,13.480,2.001
1795,1.583,11.296,281.047,0.766,3.378,53.635,12.634,13.190,1.968
1796,1.537,11.084,273.873,0.744,3.341,52.372,12.109,12.957,1.920
1797,1.592,11.341,282.144,0.767,3.387,53.845,12.703,13.229,1.975
1798,1.612,11.447,286.119,0.783,3.421,54.562,12.947,13.408,2.008
1799,1.584,11.394,281.817,0.766,3.424,53.851,12.508,13.309,1.973
1800,1.591,11.527,284.043,0.771,3.489,54.348,12.456,13.505,1.992
1801,1.590,11.376,282.520,0.768,3.413,53.957,12.632,13.306,1.981
1802,1.568,11.369,279.855,0.759,3.437,53.550,12.268,13.296,1.960
1803,1.541,11.124,274.945,0.748,3.357,52.584,12.139,13.030,1.931
1804,1.557,11.066,275.829,0.751,3.294,52.613,12.488,12.883,1.929
1805,1.567,11.294,279.360,0.760,3.397,53.390,12.362,13.251,1.961
1806,1.569,11.242,278.750,0.758,3.367,53.239,12.469,13.087,1.949
1807,1.582,11.328,281.015,0.764,3.392,53.666,12.560,13.232,1.968
1808,1.655,11.841,293.989,0.800,3.551,56.126,13.136,13.859,2.060
1809,1.602,11.511,285.498,0.778,3.473,54.566,12.671,13.516,2.008
1810,1.608,11.558,286.717,0.782,3.479,54.773,12.738,13.578,2.015
1811,1.578,11.287,280.798,0.767,3.377,53.591,12.593,13.222,1.970
1812,1.555,11.072,276.335,0.755,3.300,52.708,12.482,12.974,1.940
1813,1.553,11.144,276.603,0.754,3.339,52.827,12.343,13.062,1.942
1814,1.611,11.650,288.257,0.788,3.539,55.147,12.678,13.699,2.030
1815,1.604,11.480,285.422,0.779,3.441,54.490,12.777,13.448,2.003
1816,1.578,11.391,281.632,0.767,3.435,53.851,12.434,13.365,1.978
1817,1.607,11.489,285.342,0.776,3.439,54.483,12.775,13.438,2.000
1818,1.645,11.700,292.427,0.801,3.502,55.775,13.193,13.753,2.057
1819,1.609,11.576,286.431,0.778,3.476,54.730,12.713,13.547,2.007
1820,1.628,11.805,290.821,0.790,3.575,55.647,12.729,13.858,2.042
1821,1.630,11.675,289.814,0.789,3.505,55.355,12.924,13.691,2.035
1822,1.592,11.594,284.772,0.772,3.514,54.525,12.399,13.595,1.998
1823,1.564,11.317,279.636,0.762,3.419,53.487,12.310,13.297,1.967
1824,1.590,11.337,282.138,0.768,3.384,53.847,12.703,13.233,1.976
1825,1.590,11.477,283.934,0.773,3.455,54.271,12.540,13.507,1.997
1826,1.583,11.388,281.675,0.765,3.419,53.833,12.513,13.288,1.972
1827,1.599,11.479,284.451,0.773,3.439,54.333,12.673,13.432,1.994
1828,1.673,12.032,297.922,0.811,3.619,56.918,13.210,14.116,2.090
1829,1.622,11.696,289.657,0.790,3.534,55.383,12.793,13.768,2.040
1830,1.631,11.752,291.248,0.795,3.542,55.653,12.887,13.844,2.050
1831,1.585,11.390,282.680,0.772,3.416,53.987,12.591,13.374,1.986
1832,1.578,11.266,280.751,0.767,3.366,53.577,12.617,13.232,1.974
1833,1.572,11.315,280.382,0.764,3.399,53.577,12.444,13.292,1.971
1834,1.619,11.747,290.256,0.794,3.571,55.542,12.714,13.842,2.045
1835,1.604,11.515,285.872,0.780,3.456,54.600,12.739,13.518,2.009
1836,1.593,11.548,284.761,0.775,3.492,54.485,12.487,13.565,2.001
1837,1.619,11.611,288.149,0.784,3.480,55.031,12.852,13.617,2.023
1838,1.650,11.785,293.851,0.804,3.536,56.084,13.179,13.868,2.069
1839,1.619,11.680,288.640,0.784,3.514,55.176,12.754,13.695,2.025
1840,1.605,11.705,287.385,0.780,3.555,55.042,12.475,13.754,2.019
1841,1.640,11.788,292.310,0.796,3.549,55.858,12.975,13.854,2.056
1842,1.598,11.635,286.022,0.777,3.525,54.756,12.459,13.670,2.009
1843,1.551,11.274,277.886,0.757,3.413,53.186,12.157,13.256,1.955
1844,1.577,11.291,280.542,0.764,3.378,53.570,12.567,13.204,1.968
1845,1.587,11.484,283.868,0.774,3.463,54.278,12.489,13.545,2.000
1846,1.577,11.377,281.262,0.765,3.421,53.769,12.457,13.302,1.972
1847,1.611,11.600,287.227,0.782,3.484,54.884,12.739,13.613,2.017
1848,1.669,12.038,297.783,0.811,3.627,56.911,13.151,14.156,2.092
1849,1.632,11.764,291.504,0.795,3.553,55.728,12.882,13.860,2.054
1850,1.637,11.837,292.943,0.800,3.577,56.003,12.899,13.965,2.063
1851,1.587,11.410,283.317,0.774,3.425,54.111,12.607,13.429,1.993
1852,1.562,11.193,278.451,0.761,3.350,53.166,12.454,13.166,1.960
1853,1.567,11.271,279.739,0.764,3.383,53.442,12.439,13.266,1.969
1854,1.623,11.760,291.019,0.797,3.570,55.669,12.778,13.876,2.053
1855,1.599,11.472,285.076,0.778,3.442,54.441,12.719,13.481,2.005
1856,1.572,11.427,281.383,0.765,3.461,53.865,12.297,13.425,1.979
1857,1.628,11.656,289.915,0.791,3.493,55.348,12.966,13.695,2.038
1858,1.649,11.748,293.609,0.805,3.520,56.011,13.220,13.843,2.069
1859,1.624,11.721,289.766,0.788,3.532,55.399,12.792,13.763,2.036
1860,1.614,11.739,288.878,0.786,3.563,55.307,12.586,13.810,2.032
1861,1.621,11.626,288.613,0.786,3.494,55.139,12.848,13.661,2.030
1862,1.593,11.578,284.947,0.774,3.506,54.541,12.440,13.606,2.003
1863,1.547,11.214,277.034,0.756,3.391,53.001,12.170,13.199,1.951
1864,1.573,11.246,279.745,0.763,3.366,53.416,12.537,13.184,1.966
1865,1.608,11.596,287.277,0.784,3.494,54.904,12.692,13.683,2.024
1866,1.588,11.419,282.941,0.770,3.432,54.069,12.580,13.361,1.985
1867,1.624,11.670,289.282,0.788,3.507,55.268,12.850,13.702,2.032
1868,1.683,12.100,299.940,0.818,3.646,57.308,13.294,14.231,2.108
