# Global Fire Emissions Database version 4.1 including small fire burned area (GFED4s)  
# Estimates for 2017 onwards based on relations between active fires and emissions  
# Estimates for 2018 for January - September 21, will be updated with ~1 month latency  
# C2H4 emissions estimates in 1E9 g C2H4 for the globe, different regions, and different fire types 

All fire types combined: 

                                                                               Year                                                                 (Beta) (Beta)  '97-'17  
Region   1997   1998   1999   2000   2001   2002   2003   2004   2005   2006   2007   2008   2009   2010   2011   2012   2013   2014   2015   2016   2017   2018 |    Mean 
BONA       78    276    115     64     36    263    166    305    211    151    116     93    122    219    148    156    307    355    404    117    242    129 |     188 
TENA       24     29     46     45     25     39     37     29     33     43     63     47     33     39     43     55     36     40     70     44     67     43 |      43 
CEAM       45    368     52    118     33     44    133     34    107     59     67     58     67     42     92     35     81     31     47     55     66     47 |      78 
NHSA       67     94     51     66     71     41    114     59     44     38     78     46     50     58     23     33     37     60     56     97     39     51 |      59 
SHSA      638    846    772    356    334    600    489    725    894    419   1072    369    204   1109    292    563    272    388    526    494    521    143 |     566 
EURO       19     20     15     49     29     12     22     18     19     18     22     21     13     12     18     28     12     12      9     13     22      4 |      20 
MIDE        2      6      4      3      3      3      4      4      4      4      5      3      6      6      5      4      4      4      6      5      5      2 |       5 
NHAF      885   1161    938   1005    847    891    798    746    925    736    804    806    703    647    738    663    698    657    685    819    701    405 |     803 
SHAF     1071   1256   1068   1006   1358   1130   1181   1185   1245   1170   1098   1184   1180   1272   1218   1112   1208   1105   1113   1112   1138    789 |    1163 
BOAS      281    850    301    333    303    484    844    131    199    393    176    540    200    264    307    646    251    388    314    449    233    412 |     376 
TEAS      214    194    128    119    151    183    137    160    155    172    176    211    180    132    107    119     92    165    187     92    140     72 |     154 
SEAS      164    347    280    204    125    145    170    332    252    193    326    144    242    294    164    232    230    281    235    228    160    155 |     227 
EQAS     3616    259    218     75    110    789    202    498    267   1193     69     56    664     39    256    253    186    694   1323     65     52     74 |     519 
AUST      189    172    333    217    317    290    237    217    123    243    186    119    197     74    282    288    141    196    167    116    172    105 |     204 
Global   7301   5889   4329   3667   3753   4922   4543   4451   4488   4842   4267   3709   3867   4215   3703   4196   3564   4382   5149   3713   3564   2436 |    4406 


Savanna, grassland, and shrubland fires: 

BONA        0      1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
TENA        7      8     10     15      5     11      8      7     10     13     12     10      8      7     12     13      6      8     12     11     11     14 |      10 
CEAM       19    108     22     49     15     19     43     12     41     21     24     23     24     19     36     16     27     14     17     20     25     19 |      29 
NHSA       42     56     35     46     44     32     55     43     32     28     47     32     36     34     19     23     26     41     36     46     28     32 |      38 
SHSA      337    350    340    144    218    312    229    281    298    167    385    173    104    385    135    261    131    163    199    193    227     66 |     240 
EURO        4      5      2      9      3      2      6      2      6      2      5      1      2      2      2      4      2      0      2      4      5      1 |       4 
MIDE        0      1      1      1      0      0      0      1      0      1      1      0      1      1      1      1      0      1      1      1      1      0 |       1 
NHAF      744    919    780    804    709    742    694    629    751    594    654    680    596    536    610    554    592    556    553    657    586    333 |     664 
SHAF      997   1168    998    928   1181    970   1051   1032   1083   1016    999   1052   1055   1128   1098   1005   1068    986    980    973   1017    693 |    1038 
BOAS        5      5      3      3      3      1      5      7      3     10      1      8      4      3      3      2      1      3      3      1      2      2 |       4 
TEAS       42     37     22     23     25     53     32     37     37     39     29     26     21     37     22     25     12     31     34     17     33     12 |      31 
SEAS       87    164    120    102     75     81     95    155    123     95    142     78    103    115     69     96     77    104     94     84     73     70 |     102 
EQAS      168     43     23     10     13     55     22     43     16     48     17     15     25     13     16     15     14     27     50     10      8      7 |      31 
AUST      140    133    290    185    273    220    113    198    106    170    156    107    154     64    263    265    101    164    141     94    149     90 |     167 
Global   2598   3006   2653   2325   2570   2504   2359   2451   2512   2211   2479   2214   2137   2350   2293   2287   2064   2103   2127   2116   2172   1344 |    2359 


Boreal forest fires: 

BONA       56    226     93     48     22    226    130    281    184    129    101     81    104    188    131    125    266    292    348     93    204    107 |     159 
TENA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
CEAM        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHSA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHSA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
EURO        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHAF        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHAF        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
BOAS      201    724    231    268    236    419    726     74    138    265    122    403    139    157    252    581    225    304    257    400    197    370 |     302 
TEAS       45     35     15     25      8     33     37     15      5     27     36     27     30      6      9     25      3      6     24      4     13      6 |      21 
SEAS        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
EQAS        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
AUST        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
Global    303    987    341    342    267    680    895    370    328    423    259    516    275    351    393    732    496    603    630    498    415    485 |     482 


Temperate forest fires: 

BONA       13     14      6      2      6      5      8      1      3      5      2      2      5     10      2      3      2      8      7      5     17     12 |       7 
TENA        9     12     26     21     10     22     17      8     11     20     37     25     11      8     17     33     21     23     42     20     43     22 |      21 
CEAM        0      6      2      2      0      0      0      0      1      2      2      4      0      1      2      2      1      0      0      1      1      1 |       2 
NHSA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHSA       18     15     21     14     10     13     15     14     10      8     12     11     12     12     10     11     11      9     10      9     12      4 |      13 
