# Global Fire Emissions Database version 4.1 including small fire burned area (GFED4s)  
# Estimates for 2017 onwards based on relations between active fires and emissions  
# Estimates for 2018 for January - September 21, will be updated with ~1 month latency  
# C2H5OH emissions estimates in 1E8 g C2H5OH for the globe, different regions, and different fire types 

All fire types combined: 

                                                                               Year                                                                 (Beta) (Beta)  '97-'17  
Region   1997   1998   1999   2000   2001   2002   2003   2004   2005   2006   2007   2008   2009   2010   2011   2012   2013   2014   2015   2016   2017   2018 |    Mean 
BONA       34    106     44     23     15     97     61    114     77     57     43     34     47     85     55     56    111    129    148     43     97     53 |      71 
TENA       12     15     27     25     13     23     20     12     15     23     38     27     15     15     21     34     22     24     43     24     43     24 |      24 
CEAM       13    119     16     36     10     13     42      9     33     19     21     19     20     12     29     11     25      9     14     17     21     15 |      25 
NHSA       20     28     15     19     21     12     36     17     13     11     24     13     14     17      6      9     11     18     16     30     11     15 |      18 
SHSA      208    279    257    121    107    195    163    241    297    138    355    121     68    368     97    184     90    128    174    163    173     47 |     188 
EURO        6      7      5     14      8      4      8      5      6      6      7      6      4      3      6      9      3      3      3      4      8      1 |       6 
MIDE        0      1      1      1      0      0      1      1      1      1      1      0      1      1      1      1      1      1      1      1      1      0 |       1 
NHAF      255    341    273    294    246    258    232    215    267    212    233    232    203    186    214    191    202    190    199    239    203    118 |     233 
SHAF      312    367    311    294    399    332    348    348    367    344    323    349    347    376    358    326    356    326    328    329    335    231 |     342 
BOAS      103    315    112    120    110    185    309     46     69    144     62    193     72    101    113    241     93    142    115    166     86    155 |     138 
TEAS       78     74     51     42     48     58     47     55     48     56     58     69     65     49     40     41     33     55     61     30     44     25 |      53 
SEAS       56    117    106     74     46     48     61    113     85     70    110     51     88    104     56     85     82    102     79     81     55     55 |      80 
EQAS      753     78     58     22     23    178     47    119     56    245     19     15    134     11     54     54     41    146    271     17     14     17 |     113 
AUST       78     67    113     76    108    116    132     67     39    105     69     38     73     25     86     90     57     68     55     41     55     35 |      75 
Global   1937   1920   1394   1167   1161   1527   1513   1369   1379   1438   1370   1177   1158   1360   1143   1339   1134   1348   1514   1191   1151    797 |    1367 


Savanna, grassland, and shrubland fires: 

BONA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
TENA        2      2      3      4      1      3      2      2      3      3      3      3      2      2      3      3      1      2      3      3      3      4 |       3 
CEAM        5     31      6     14      4      5     12      3     12      6      7      6      7      5     10      4      8      4      4      6      7      5 |       8 
NHSA       12     16     10     13     12      9     16     12      9      8     13      9     10      9      5      7      7     12     10     13      8      9 |      11 
SHSA       98    102     99     42     63     91     67     82     87     48    112     50     30    112     39     76     38     47     58     56     66     19 |      70 
EURO        1      1      0      2      0      0      1      0      1      0      1      0      0      0      0      1      0      0      0      1      1      0 |       1 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHAF      217    269    228    235    207    217    203    184    220    173    191    199    174    157    178    162    173    162    162    192    171     97 |     194 
SHAF      291    341    292    271    345    283    307    302    317    297    292    307    308    330    321    294    312    288    286    284    297    202 |     304 
BOAS        1      1      0      1      1      0      1      2      0      3      0      2      1      1      0      0      0      0      0      0      0      0 |       1 
TEAS       12     11      6      6      7     15      9     10     10     11      8      7      6     10      6      7      3      9     10      5      9      3 |       9 
SEAS       25     48     35     29     22     23     27     45     36     28     41     23     30     33     20     28     22     30     27     24     21     20 |      30 
EQAS       49     12      6      2      3     16      6     12      4     14      5      4      7      3      4      4      4      7     14      3      2      2 |       9 
AUST       40     39     85     54     80     64     33     58     31     49     45     31     45     18     77     77     29     48     41     27     43     26 |      49 
Global    760    880    776    680    752    733    690    717    735    647    725    648    625    688    671    669    604    615    622    619    635    393 |     691 


Boreal forest fires: 

BONA       21     87     36     18      8     87     50    108     71     50     39     31     40     72     50     48    103    113    134     36     79     41 |      62 
TENA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
CEAM        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
