# Global Fire Emissions Database version 4.1 including small fire burned area (GFED4s)  
# Estimates for 2017 onwards based on relations between active fires and emissions  
# C2H6 emissions estimates in 1E9 g C2H6 for the globe, different regions, and different fire types 

All fire types combined: 

                                                                               Year                                                                 (Beta) (Beta)  '97-'18  
Region   1997   1998   1999   2000   2001   2002   2003   2004   2005   2006   2007   2008   2009   2010   2011   2012   2013   2014   2015   2016   2017   2018 |    Mean 
BONA       81    307    126     69     34    298    177    362    242    171    132    107    139    249    171    169    348    389    457    126    273    150 |     209 
TENA       15     18     28     29     16     24     23     19     21     27     38     29     21     25     28     34     22     24     42     27     40     36 |      27 
CEAM       32    257     36     84     24     32     94     24     76     41     47     41     47     30     65     25     57     22     33     39     47     35 |      54 
NHSA       50     70     38     50     53     31     83     45     33     29     58     35     38     43     18     25     28     45     42     71     29     47 |      44 
SHSA      469    610    558    255    251    441    355    520    636    301    767    268    148    792    212    409    197    279    376    354    380    221 |     400 
EURO       12     13     10     32     19      8     14     11     13     12     15     13      8      8     11     18      8      7      5      9     15      7 |      13 
MIDE        1      4      2      2      2      2      2      3      2      2      3      2      4      4      3      3      3      2      4      3      3      2 |       3 
NHAF      688    896    729    777    659    692    625    581    716    569    622    627    548    501    573    515    544    512    530    633    545    552 |     620 
SHAF      849    996    847    797   1065    884    931    930    977    918    868    933    930   1002    962    878    951    871    875    874    897    884 |     915 
BOAS      302    987    333    376    335    565    981    128    210    413    186    591    211    258    351    767    297    433    358    529    267    495 |     427 
TEAS      168    148     92     93    103    144    114    114    106    131    137    152    134     91     75     94     61    111    137     62    101     65 |     111 
SEAS      119    250    197    146     91    107    123    239    181    138    234    104    170    208    116    164    160    197    166    160    116    126 |     160 
EQAS     1497    163    118     46     50    360     97    242    113    486     43     34    266     26    109    108     84    288    534     35     30     83 |     219 
AUST      140    129    258    167    245    216    159    171     96    178    142     94    149     57    223    227    104    151    129     88    133    160 |     156 
Global   4431   4858   3381   2929   2955   3811   3786   3396   3429   3423   3300   3040   2819   3300   2925   3442   2870   3339   3698   3017   2882   2868 |    3360 


Savanna, grassland, and shrubland fires: 

BONA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
TENA        5      6      8     12      4      9      6      6      8     10     10      8      6      6     10     10      5      6     10      9      9     14 |       9 
CEAM       15     87     18     40     12     15     34      9     33     17     19     19     19     15     29     13     22     11     13     16     20     16 |      23 
NHSA       34     45     28     37     35     25     44     35     25     23     37     26     29     27     15     19     21     33     29     37     22     33 |      30 
SHSA      271    281    273    116    175    251    184    226    240    134    310    140     84    310    109    210    105    131    160    155    183    109 |     189 
EURO        3      4      2      7      2      1      4      1      5      2      4      1      1      2      2      3      2      0      1      3      4      1 |       3 
