# Global Fire Emissions Database version 4.1 including small fire burned area (GFED4s)  
# Estimates for 2017 onwards based on relations between active fires and emissions  
# C2H6S emissions estimates in 1E7 g C2H6S for the globe, different regions, and different fire types 

All fire types combined: 

                                                                               Year                                                                 (Beta) (Beta)  '97-'18  
Region   1997   1998   1999   2000   2001   2002   2003   2004   2005   2006   2007   2008   2009   2010   2011   2012   2013   2014   2015   2016   2017   2018 |    Mean 
BONA       28     86     36     18     12     79     49     94     63     47     35     28     38     70     45     45     91    104    121     35     79     46 |      57 
TENA        8     10     20     18      9     17     14      8     10     16     28     20     10      9     15     25     16     18     32     17     32     23 |      17 
CEAM        6     51      8     17      4      6     17      4     14      9      9      9      8      6     13      6     11      4      6      7      9      7 |      11 
NHSA        9     13      7      9     10      6     16      8      6      5     11      6      7      8      3      4      5      8      8     13      5      9 |       8 
SHSA      100    125    119     57     54     92     77    108    128     62    154     57     34    159     46     85     44     58     77     73     80     46 |      84 
EURO        3      3      2      7      3      2      4      2      3      3      4      3      2      1      3      5      2      1      1      2      5      1 |       3 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       1 
NHAF      132    172    140    149    126    133    120    111    136    108    119    120    105     95    109     98    104     98    101    121    104    106 |     119 
SHAF      166    195    165    155    207    172    182    180    190    178    170    182    181    196    188    171    185    170    171    171    175    173 |     179 
BOAS       79    253     88     95     86    150    249     33     52    109     47    149     55     76     90    197     76    112     91    136     68    129 |     111 
TEAS       50     47     32     26     26     34     30     32     25     33     35     40     40     29     24     26     20     31     35     16     25     18 |      31 
SEAS       30     58     58     40     26     24     34     56     44     38     53     28     47     52     28     45     40     53     38     41     29     32 |      41 
EQAS      283     30     22      8      9     68     18     45     21     92      8      6     50      4     20     20     15     54    101      6      5     15 |      42 
AUST       51     42     66     46     63     74     95     37     21     70     42     21     45     14     47     50     36     40     31     25     31     37 |      45 
Global    951   1095    771    651    642    863    913    725    721    777    722    676    630    726    638    784    652    759    821    670    654    647 |     750 


Savanna, grassland, and shrubland fires: 

BONA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
TENA        1      1      1      2      0      1      1      1      1      2      1      1      1      1      2      2      1      1      2      1      1      2 |       2 
CEAM        3     17      3      7      2      3      6      1      6      3      3      3      3      3      5      2      4      2      2      3      4      3 |       4 
NHSA        6      8      5      7      7      5      8      6      5      4      7      5      5      5      3      3      4      6      5      7      4      6 |       6 
SHSA       53     55     53     22     34     49     36     44     47     26     61     27     16     61     21     41     20     25     31     30     36     21 |      37 
EURO        0      0      0      1      0      0      0      0      1      0      0      0      0      0      0      0      0      0      0      0      0      0 |       1 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHAF      118    145    123    127    112    117    110     99    119     94    103    107     94     85     96     87     93     88     87    104     92     94 |     105 
SHAF      158    185    158    147    187    153    166    163    171    161    158    166    167    178    174    159    169    156    155    154    161    158 |     164 
BOAS        0      0      0      0      0      0      0      1      0      1      0      1      0      0      0      0      0      0      0      0      0      0 |       1 
TEAS        6      5      3      3      3      8      5      5      5      6      4      4      3      5      3      4      2      4      5      2      5      2 |       5 
SEAS       13     26     19     16     11     12     15     24     19     15     22     12     16     18     11     15     12     16     14     13     11     12 |      16 
EQAS       26      6      3      1      2      8      3      6      2      7      2      2      4      2      2      2      2      4      7      1      1      2 |       5 
