# Global Fire Emissions Database version 4.1 including small fire burned area (GFED4s)  
# Estimates for 2017 onwards based on relations between active fires and emissions  

# NOTE THAT AQUA HAD ISSUES IN THE SECOND HALF OF AUGUST 2020; FOR THAT PERIOD THESE ESTIMATES ARE CONSERVATIVE  

# C3H6 emissions estimates in 1E9 g C3H6 for the globe, different regions, and different fire types 

All fire types combined: 

                                                                               Year                                                                 (Beta) (Beta) (Beta) (Beta) (Beta)  '97-'20  
Region   1997   1998   1999   2000   2001   2002   2003   2004   2005   2006   2007   2008   2009   2010   2011   2012   2013   2014   2015   2016   2017   2018   2019   2020   2021 |    Mean 
BONA       59    221     93     49     27    218    140    249    175    124     96     76     98    179    122    131    257    297    337     97    392    193    208     25    641 |     161 
TENA       15     18     28     30     15     25     22     18     21     27     38     28     20     22     27     34     21     24     41     27     54     63     17    120    100 |      32 
CEAM       32    252     37     84     24     32     93     22     76     41     46     41     46     30     66     25     56     22     32     39     49     34     56     49     36 |      54 
NHSA       55     75     43     56     58     35     88     50     37     32     63     38     42     46     21     28     31     50     46     74     31     57     77     68     25 |      51 
SHSA      500    630    581    263    276    470    373    533    643    309    781    281    156    803    221    428    206    289    384    363    394    206    432    547    472 |     420 
EURO       11     12      8     27     15      6     13      9     12     10     13     11      7      7     10     15      7      6      5      8     16      6      8      6     12 |      11 
MIDE        1      3      2      2      2      2      2      2      2      2      3      2      3      3      3      3      2      2      3      2      3      1      2      2      7 |       3 
NHAF      788   1016    834    882    754    792    723    665    812    644    707    718    628    571    654    589    624    587    602    719    603    617    488    602    540 |     693 
SHAF      998   1169    996    935   1233   1021   1084   1077   1131   1063   1016   1087   1086   1167   1124   1026   1106   1016   1018   1015   1014    991   1032    917   1019 |    1056 
BOAS      204    649    223    252    231    373    654     92    145    281    126    397    147    189    231    508    199    287    236    354    258    428    555    484    938 |     313 
TEAS      138    124     78     76     86    124     93    100     94    110    110    122    106     84     65     77     51     96    113     53     97     54     69     59     46 |      91 
SEAS      126    262    205    155    100    114    133    250    189    146    243    111    175    213    119    169    160    200    169    161    114    120    165    171    158 |     166 
EQAS     3634    194    185     56    108    752    190    457    267   1207     55     45    677     30    254    251    179    694   1345     56     35    184    786     27     24 |     487 
AUST      160    149    302    195    286    248    174    201    111    202    166    110    171     67    263    268    119    175    150    102    164    201    363    135    102 |     187 
Global   6726   4784   3621   3068   3222   4218   3788   3733   3722   4205   3469   3077   3370   3418   3188   3559   3027   3753   4489   3077   3230   3159   4264   3218   4127 |    3725 


Savanna, grassland, and shrubland fires: 

BONA        0      1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
TENA        6      8      9     14      5     10      7      7     10     12     12     10      8      7     12     12      6      7     12     11     17     29      8     33     22 |      12 
CEAM       18    104     21     47     14     18     41     11     39     20     23     23     23     18     35     16     26     14     16     19     26     19     29     25     20 |      27 
NHSA       41     53     34     45     42     30     53     41     31     27     45     31     34     32     19     23     25     39     35     44     25     43     49     52     21 |      38 
SHSA      325    337    327    139    210    300    220    270    287    161    371    167    100    371    130    251    126    157    192    186    218    116    247    305    296 |     230 
EURO        3      5      2      8      2      2      5      2      6      2      5      1      2      2      2      4      2      0      2      3      6      1      1      1      5 |       3 
MIDE        0      1      1      1      0      0      0      0      0      1      1      0      1      1      1      1      0      0      1      1      1      0      1      1      5 |       1 
NHAF      717    885    751    774    683    715    669    606    724    572    630    655    574    516    588    533    570    535    533    633    543    558    437    541    487 |     623 
SHAF      960   1125    962    894   1138    934   1013    994   1043    979    962   1013   1016   1087   1058    969   1029    950    944    937    946    919    962    851    948 |     987 
BOAS        5      5      3      3      3      1      5      7      3      9      1      8      4      3      2      2      1      3      2      1      1      2      3      2      4 |       4 
TEAS       41     36     21     22     24     51     31     35     35     38     28     25     20     35     21     24     12     30     32     16     43     18     30     18     18 |      29 
SEAS       84    158    116     98     72     78     91    149    119     92    137     75     99    111     66     93     74    100     90     81     65     67     94     98     87 |      97 
EQAS      162     42     22      9     12     53     21     42     15     46     16     14     24     13     16     14     13     26     48     10      7     15     32      5      5 |      29 
AUST      134    128    280    178    263    212    109    191    102    164    150    103    148     61    253    256     97    158    136     91    150    186    201     86     96 |     160 
Global   2502   2896   2556   2240   2476   2413   2272   2362   2420   2130   2389   2133   2058   2264   2209   2204   1988   2026   2049   2039   2055   1978   2100   2025   2021 |    2242 


Boreal forest fires: 

BONA       44    180     74     38     17    180    104    223    147    103     80     64     83    149    104     99    212    232    277     74    359    171    168     22    547 |     134 
TENA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
CEAM        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHSA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHSA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
EURO        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHAF        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHAF        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
BOAS      160    576    184    213    188    334    578     59    109    211     97    321    111    125    201    462    179    241    205    318    236    392    512    450    881 |     270 
TEAS       36     28     12     20      6     26     29     11      4     22     28     21     24      4      7     20      3      5     19      3      9      4      4      3      1 |      15 
SEAS        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
EQAS        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
AUST        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
Global    241    785    271    272    212    541    712    294    261    337    206    410    219    279    313    583    394    480    502    396    605    568    685    476   1431 |     419 


Temperate forest fires: 

BONA        6      7      3      1      3      2      4      1      1      3      1      1      2      5      1      1      1      4      3      2     12      9     18      0     25 |       4 
TENA        5      6     13     11      5     11      9      4      5     10     19     13      5      4      9     17     11     12     22     10     29     27      4     78     71 |      15 
CEAM        0      3      1      1      0      0      0      0      0      1      1      2      0      0      1      1      0      0      0      0      0      0      1      0      0 |       1 
NHSA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHSA        9      8     11      7      5      7      8      7      5      4      6      5      6      6      5      5      6      4      5      5     10      3      4      9      4 |       7 
EURO        1      1      1      1      0      1      2      0      1      1      1      1      0      0      1      2      0      0      0      0      3      0      1      1      1 |       1 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHAF        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHAF        0      1      0      0      1      0      0      0      1      0      1      0      0      0      0      0      0      0      0      0      1      2      0      0      0 |       1 
BOAS        5      4      5      1      2      6      1      3      1      9      2      4      3     13      2      1      0      4      1      1      1      3      2      1      2 |       4 
TEAS       14     16     13      6      8      5      5     10      6      7      7     11     13     11      9      6      8     11      9      5      5      5      6      8      6 |       9 
SEAS        7     10     19     11      8      3      9     10      9     10      8      7     13     11      6     13      9     14      7     10      6      7      8      6     14 |      10 
EQAS        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
AUST       21     15     14     12     14     29     58      3      2     31     13      3     14      3      3      5     14     10      5      7      5      5    149     44      1 |      20 
Global     73     75     85     56     49     69    100     41     36     81     63     49     62     59     40     56     54     64     56     45     77     66    197    151    130 |      72 


Tropical deforestation & degradation: 

BONA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
TENA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
CEAM        7    118      7     21      5      7     41      2     25     10     13      9     14      3     21      3     21      3      9     11     13      8     17     15      9 |      17 
NHSA       10     17      5      8     11      2     31      6      4      2     14      4      4     11      1      3      4      7      8     27      4     10     24     12      2 |      10 
