# Global Fire Emissions Database version 4.1 including small fire burned area (GFED4s)  
# Estimates for 2017 onwards based on relations between active fires and emissions  

# NOTE THAT AQUA HAD ISSUES IN THE SECOND HALF OF AUGUST 2020; FOR THAT PERIOD THESE ESTIMATES ARE CONSERVATIVE  

# CH3COOH emissions estimates in 1E10 g CH3COOH for the globe, different regions, and different fire types 

All fire types combined: 

                                                                               Year                                                                 (Beta) (Beta) (Beta) (Beta) (Beta)  '97-'20  
Region   1997   1998   1999   2000   2001   2002   2003   2004   2005   2006   2007   2008   2009   2010   2011   2012   2013   2014   2015   2016   2017   2018   2019   2020   2021 |    Mean 
BONA       23     85     35     20     10     82     51     95     66     46     36     29     38     67     46     49     96    111    126     36    151     74     79     10    244 |      61 
TENA        7      9     12     13      8     10     11      9     11     13     17     13     10     13     13     15     10     11     19     13     24     27      8     49     40 |      15 
CEAM       16    126     19     43     12     16     46     13     38     21     24     21     24     16     33     13     29     12     17     20     25     17     28     25     19 |      28 
NHSA       26     36     20     26     27     16     41     23     17     15     30     18     20     22      9     13     15     23     22     35     14     27     36     32     12 |      24 
SHSA      234    296    273    124    128    219    174    250    301    146    366    133     75    376    104    201     98    136    181    172    184     97    201    256    220 |     197 
EURO        6      7      5     18     11      4      8      7      7      6      8      8      4      4      6     10      4      4      3      5      9      4      5      4      7 |       7 
MIDE        0      2      1      1      1      1      1      1      1      1      2      1      2      2      2      1      1      1      2      2      2      1      1      1      3 |       2 
NHAF      372    478    392    415    355    373    336    314    387    307    336    339    296    272    308    278    294    276    285    339    285    291    231    285    256 |     327 
SHAF      458    537    457    428    570    472    497    497    522    490    465    497    496    534    514    470    507    465    466    465    465    455    473    421    468 |     485 
BOAS       91    271     96    107     97    152    269     44     65    128     57    176     65     84     98    204     79    124    100    142    106    171    222    193    370 |     131 
TEAS       74     66     43     42     55     68     48     57     58     63     63     75     62     47     37     42     32     59     68     33     56     32     40     36     27 |      53 
SEAS       61    125     97     73     46     54     62    118     92     69    115     53     85    101     58     81     78     96     83     79     55     59     80     83     76 |      80 
EQAS     1217     84     71     24     38    264     68    166     90    401     24     20    224     14     86     85     62    232    444     22     14     65    261     11     10 |     167 
AUST       71     66    135     87    129    110     73     91     51     89     73     49     76     30    119    121     52     78     67     46     74     90    151     57     46 |      83 
Global   2664   2195   1664   1429   1494   1849   1694   1692   1713   1803   1621   1439   1484   1589   1443   1589   1364   1636   1891   1413   1471   1416   1824   1468   1802 |    1661 


Savanna, grassland, and shrubland fires: 

BONA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
