# Global Fire Emissions Database version 4.1 including small fire burned area (GFED4s)  
# Estimates for 2017 onwards based on relations between active fires and emissions  

# NOTE THAT AQUA HAD ISSUES IN THE SECOND HALF OF AUGUST 2020; FOR THAT PERIOD THESE ESTIMATES ARE CONSERVATIVE  

# CH3OH emissions estimates in 1E10 g CH3OH for the globe, different regions, and different fire types 

All fire types combined: 

                                                                               Year                                                                 (Beta) (Beta) (Beta) (Beta) (Beta)  '97-'20  
Region   1997   1998   1999   2000   2001   2002   2003   2004   2005   2006   2007   2008   2009   2010   2011   2012   2013   2014   2015   2016   2017   2018   2019   2020   2021 |    Mean 
BONA       15     57     24     13      7     55     36     63     44     31     24     19     25     45     31     33     65     76     86     25     99     49     53      6    163 |      41 
TENA        4      5      7      7      4      6      6      5      5      7     10      7      5      7      7      8      6      6     11      7     14     15      4     31     27 |       9 
CEAM        8     74      9     22      6      8     26      6     20     11     13     10     13      7     17      6     16      5      9     10     13      9     15     13      9 |      15 
NHSA       11     16      8     11     12      6     21      9      7      6     14      7      8     10      3      5      6     10      9     18      6     12     18     14      4 |      11 
SHSA      115    162    146     68     57    109     91    140    178     81    211     68     36    220     54    105     50     74    102     95     99     51    107    138    111 |     107 
EURO        3      4      3     10      6      2      4      3      3      3      4      4      2      2      3      5      2      2      1      2      5      2      3      2      3 |       4 
MIDE        0      1      0      0      0      0      0      0      0      0      1      0      1      1      1      0      1      0      1      1      1      0      0      0      1 |       1 
NHAF      139    187    148    161    133    140    123    116    147    117    128    126    110    102    116    104    109    102    109    131    107    109     87    107     96 |     124 
SHAF      160    187    159    151    210    176    180    183    192    181    166    181    180    195    185    169    185    169    171    171    169    166    172    154    171 |     176 
BOAS       57    172     61     68     62     97    172     26     41     79     36    110     41     54     62    131     51     79     63     92     67    110    142    124    238 |      84 
TEAS       41     37     24     23     30     35     26     31     30     33     35     43     36     25     20     23     18     32     37     18     29     17     21     19     14 |      29 
SEAS       29     63     50     36     21     25     29     61     45     34     61     25     44     55     30     42     44     53     44     43     28     31     41     43     40 |      41 
EQAS     1054     59     56     17     30    220     55    135     77    350     15     12    196      8     73     72     52    202    389     16     10     54    227      8      7 |     142 
AUST       28     25     49     31     47     43     35     32     18     36     27     17     29     11     41     42     21     29     25     17     27     33     78     27     16 |      33 
Global   1670   1057    750    624    631    929    811    818    816    976    750    639    732    748    651    754    631    846   1065    652    680    663    976    693    907 |     816 


Savanna, grassland, and shrubland fires: 

BONA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
TENA        1      1      1      2      0      1      1      1      1      1      1      1      1      1      1      1      0      1      1      1      2      4      1      4      3 |       2 
CEAM        2     15      3      7      2      2      6      1      5      3      3      3      3      2      5      2      3      2      2      2      3      2      4      3      3 |       4 
NHSA        6      8      5      6      6      4      7      6      4      4      6      4      5      4      2      3      3      5      5      6      3      6      7      7      3 |       6 
SHSA       48     50     48     20     31     44     32     40     42     24     55     25     15     55     19     37     18     23     28     27     32     17     36     45     44 |      34 
EURO        0      0      0      1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       1 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHAF      107    132    112    115    102    106     99     90    108     85     94     97     85     77     87     79     85     80     79     94     81     83     65     80     72 |      93 
SHAF      143    168    143    133    169    139    151    148    155    146    143    151    151    162    158    144    153    141    141    140    141    137    143    127    141 |     147 
BOAS        0      0      0      0      0      0      0      1      0      1      0      1      0      0      0      0      0      0      0      0      0      0      0      0      0 |       1 
TEAS        6      5      3      3      3      7      4      5      5      5      4      3      3      5      3      3      1      4      4      2      6      2      4      2      2 |       4 
SEAS       12     23     17     14     10     11     13     22     17     13     20     11     14     16     10     13     11     15     13     12      9     10     14     14     13 |      14 
EQAS       24      6      3      1      1      7      3      6      2      7      2      2      3      1      2      2      2      3      7      1      1      2      4      0      0 |       4 
AUST       20     19     41     26     39     31     16     28     15     24     22     15     22      9     37     38     14     23     20     13     22     27     30     12     14 |      24 
Global    373    432    381    334    369    360    339    352    361    318    356    318    307    338    330    329    297    302    306    304    306    295    313    302    301 |     335 


Boreal forest fires: 

BONA       11     44     18      9      4     45     25     55     36     25     20     16     20     37     26     24     52     58     69     18     89     42     41      5    136 |      33 
TENA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
CEAM        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHSA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHSA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
EURO        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
