# Global Fire Emissions Database version 4.1 including small fire burned area (GFED4s)  
# Estimates for 2017 onwards based on relations between active fires and emissions  
# Estimates for 2018 for January - May, will be updated with ~1 month latency  
# CO emissions estimates in 1E11 g CO for the globe, different regions, and different fire types 

All fire types combined: 

                                                                               Year                                                                 (Beta) (Beta)  '97-'17  
Region   1997   1998   1999   2000   2001   2002   2003   2004   2005   2006   2007   2008   2009   2010   2011   2012   2013   2014   2015   2016   2017   2018 |    Mean 
BONA       67    241    100     55     30    232    145    270    186    133    102     82    107    193    131    136    271    311    356    102    212      7 |     165 
TENA       18     21     34     34     18     29     27     21     24     32     47     35     24     28     32     41     27     30     52     32     50      9 |      32 
CEAM       35    300     40     92     26     35    108     25     85     46     52     45     53     32     73     27     65     24     37     44     52     31 |      62 
NHSA       53     75     39     52     56     31     93     46     34     29     62     35     39     46     18     26     29     47     44     79     30     38 |      46 
SHSA      514    695    630    291    264    486    397    598    746    344    892    299    161    924    237    458    218    317    433    406    427     25 |     464 
EURO       13     15     11     35     21      8     16     13     14     13     16     15      9      9     13     20      9      8      6      9     16      1 |      14 
MIDE        1      4      2      2      2      2      3      3      2      3      4      2      4      4      3      3      3      3      4      3      3      0 |       3 
NHAF      677    898    721    776    650    684    613    571    708    563    616    615    538    494    566    507    534    504    526    631    537    307 |     616 
SHAF      821    962    818    773   1047    873    912    915    962    904    846    915    912    984    940    857    934    854    861    861    878     42 |     897 
BOAS      237    738    257    287    260    422    735    107    167    329    148    459    168    219    265    568    221    332    270    394    202     92 |     324 
TEAS      164    148     96     91    110    139    107    120    113    129    134    156    135     99     79     91     67    120    139     67    104     34 |     115 
SEAS      128    278    222    161     98    115    133    266    198    152    263    112    191    237    130    185    185    225    187    182    127    121 |     180 
EQAS     2998    218    183     63     90    655    167    415    221    990     57     45    549     31    211    210    154    577   1099     54     43      9 |     430 
AUST      145    132    255    166    243    222    181    167     95    186    142     92    152     57    217    221    109    151    129     89    132     46 |     157 
Global   5877   4734   3417   2883   2925   3940   3645   3544   3564   3860   3388   2919   3049   3363   2923   3357   2832   3509   4151   2960   2819    769 |    3508 


Savanna, grassland, and shrubland fires: 

BONA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
TENA        5      6      7     11      4      8      6      5      8     10      9      8      6      5      9     10      5      6      9      9      9      3 |       8 
CEAM       14     83     17     38     11     14     33      9     31     16     18     18     18     15     27     12     21     11     13     15     19     12 |      22 
NHSA       32     43     27     36     34     24     42     33     24     22     36     25     27     26     15     18     20     31     28     35     21     23 |      29 
SHSA      259    268    261    111    167    239    175    216    229    128    296    133     80    296    104    200    101    125    153    148    174     12 |     184 
EURO        3      4      2      6      2      1      4      1      5      2      4      1      1      1      1      3      2      0      1      3      4      0 |       3 
MIDE        0      1      0      1      0      0      0      0      0      0      1      0      0      1      0      1      0      0      0      0      1      0 |       1 
NHAF      571    706    599    617    545    570    533    483    577    456    502    522    457    412    469    425    455    427    425    505    450    253 |     510 
SHAF      766    897    767    713    907    745    808    792    832    780    767    808    810    867    844    772    821    758    753    747    781     34 |     797 
BOAS        4      4      2      2      3      1      4      5      2      7      1      6      3      2      2      1      1      2      2      0      1      1 |       3 
TEAS       32     28     17     17     19     41     24     28     28     30     22     20     16     28     17     19      9     24     26     13     26      5 |      24 
SEAS       67    126     92     78     57     62     73    119     95     73    109     60     79     88     53     74     59     80     72     64     56     53 |      78 
EQAS      129     33     17      7     10     42     17     33     12     37     13     11     19     10     12     11     11     20     38      8      6      1 |      24 
AUST      107    102    223    142    210    169     87    152     81    131    120     82    118     49    202    204     77    126    108     72    115     39 |     128 
Global   1996   2310   2038   1786   1975   1924   1812   1883   1930   1698   1905   1701   1641   1806   1762   1757   1586   1616   1634   1626   1669    441 |    1813 


Boreal forest fires: 

BONA       50    202     83     43     19    202    116    251    165    116     90     72     93    168    117    112    238    261    311     83    182      5 |     142 
TENA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
CEAM        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHSA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHSA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
EURO        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHAF        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHAF        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
BOAS      180    648    207    240    211    375    650     66    123    237    109    361    125    140    226    520    201    271    230    357    176     69 |     270 
TEAS       40     32     14     22      7     30     33     13      4     24     32     24     27      5      8     22      3      5     22      3     12      5 |      19 
SEAS        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
EQAS        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
AUST        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
Global    271    883    305    306    239    608    800    331    294    378    232    461    246    314    352    655    443    539    564    445    371     80 |     431 


Temperate forest fires: 

BONA        9     11      5      2      5      4      6      1      2      4      1      1      4      8      1      2      1      6      5      4     13      0 |       5 
TENA        7      9     19     16      8     17     13      6      8     15     28     19      8      6     13     24     16     17     31     15     32      3 |      16 
CEAM        0      4      2      2      0      0      0      0      0      1      1      3      0      0      1      1      1      0      0      0      1      1 |       1 
NHSA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHSA       13     11     16     11      7     10     11     11      7      6      9      8      9      9      8      8      8      6      7      7      9      1 |      10 
EURO        2      2      1      2      0      1      3      0      1      1      1      1      1      0      1      3      0      1      1      1      3      0 |       2 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHAF        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHAF        1      2      0      0      1      0      1      0      1      0      1      0      0      1      0      0      0      0      0      1      1      0 |       1 
BOAS        8      6      8      2      4      9      2      4      2     13      3      6      5     19      3      2      1      6      2      1      2      3 |       6 
TEAS       21     23     19     10     11      8      8     14      9     10     11     16     20     17     14      9     12     15     13      8      8      4 |      14 
SEAS       10     14     28     16     11      5     14     14     13     15     12     10     20     16      9     19     14     21     10     15      9     10 |      14 
EQAS        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
AUST       31     22     21     17     20     42     84      5      3     46     19      4     20      4      4      7     21     14      8     10      6      4 |      20 
Global    106    108    122     82     71    100    145     59     51    117     90     72     90     85     58     81     79     92     81     66     88     28 |      88 


Tropical deforestation & degradation: 

BONA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
TENA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
CEAM       11    171     10     31      7     11     60      4     37     15     19     13     21      5     30      4     30      5     14     17     19     11 |      26 
NHSA       15     26      8     12     16      4     46      9      6      3     21      7      5     16      1      4      6     11     12     40      5     12 |      13 
SHSA      215    388    325    152     75    217    191    351    491    190    565    138     54    599    109    229     88    167    253    229    227      8 |     251 
EURO        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHAF       32    115     56     87     43     47     34     29     46     35     45     26     26     22     39     27     26     30     46     66     34     26 |      44 
SHAF       16     16     11     26     80     76     66     75     79     78     45     74     70     80     62     50     78     66     75     80     60      3 |      61 
BOAS        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
TEAS        4      5      4      2      1      0      3      8      2      1      3      2      2      5      0      1      0      1      0      0      1      0 |       3 
SEAS       31    112     77     48     22     35     32    111     61     46    122     28     64    111     49     70     89     98     76     75     43     44 |      67 
EQAS      864    142     95     41     23    234     59    170     62    278     27     18    144     14     59     62     52    177    310     24     21      4 |     138 
AUST        2      3      5      2      6      5      7      4      5      4      1      3      9      0      5      5      7      7      9      3      4      0 |       5 
