# Global Fire Emissions Database version 4.1 including small fire burned area (GFED4s)  
# Estimates for 2017 onwards based on relations between active fires and emissions  
# CO2 emissions estimates in 1E13 g CO2 for the globe, different regions, and different fire types 

All fire types combined: 

                                                                               Year                                                                 (Beta) (Beta)  '97-'18  
Region   1997   1998   1999   2000   2001   2002   2003   2004   2005   2006   2007   2008   2009   2010   2011   2012   2013   2014   2015   2016   2017   2018 |    Mean 
BONA        8     28     11      6      3     26     16     31     21     15     11      9     12     22     15     15     30     35     40     11     25     14 |      19 
TENA        3      4      6      7      3      6      5      4      5      6      9      7      4      5      6      8      5      5     10      6      9      8 |       6 
CEAM        7     59      8     19      5      7     21      5     17      9     10      9     10      6     15      5     13      5      7      9     10      8 |      13 
NHSA       12     17      9     12     13      7     20     11      8      7     14      8      9     10      4      6      7     11     10     17      7     11 |      11 
SHSA      114    146    134     61     61    107     86    125    152     72    184     64     35    189     51     98     47     67     90     84     91     53 |      96 
EURO        2      2      2      6      3      1      3      2      2      2      3      2      1      1      2      3      1      1      1      1      3      1 |       3 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       1 
NHAF      170    221    180    191    163    171    155    143    175    139    153    154    135    123    141    127    134    126    130    156    134    136 |     153 
SHAF      214    250    213    200    266    220    233    232    244    229    218    234    234    252    242    221    239    219    220    219    225    222 |     230 
BOAS       30     89     32     35     32     51     88     14     21     43     18     57     21     28     32     67     26     41     33     46     24     44 |      40 
TEAS       28     25     17     15     19     25     18     22     21     23     22     26     22     19     14     15     11     21     24     12     18     12 |      20 
SEAS       28     60     47     35     22     25     30     57     43     33     56     25     40     49     27     39     37     46     39     37     27     30 |      38 
EQAS      353     38     27     10     11     84     22     57     26    114     10      8     62      6     25     25     19     68    126      8      7     19 |      52 
AUST       35     32     65     42     62     55     40     43     24     45     36     23     37     14     56     57     26     38     32     22     33     40 |      40 
Global   1009    980    758    646    670    792    745    751    765    743    750    633    631    731    637    694    602    689    768    635    621    603 |     721 


Savanna, grassland, and shrubland fires: 

BONA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
TENA        1      1      2      3      1      2      1      1      2      2      2      2      1      1      2      2      1      1      2      2      2      3 |       2 
CEAM        3     22      4     10      3      3      8      2      8      4      5      4      4      4      7      3      5      3      3      4      5      4 |       6 
NHSA        8     11      7      9      9      6     11      8      6      5      9      6      7      7      4      4      5      8      7      9      5      8 |       8 
SHSA       69     71     69     29     44     64     47     57     61     34     79     35     21     79     27     53     27     33     41     39     46     27 |      48 
EURO        0      1      0      1      0      0      1      0      1      0      1      0      0      0      0      1      0      0      0      0      1      0 |       1 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHAF      153    188    160    165    145    152    142    129    154    122    134    139    122    110    125    113    121    114    113    135    120    122 |     136 
SHAF      205    240    205    190    242    199    216    212    222    209    205    216    217    232    225    206    219    202    201    200    209    205 |     213 
BOAS        1      1      0      0      0      0      1      1      0      2      0      1      0      0      0      0      0      0      0      0      0      0 |       1 
TEAS        8      7      4      4      5     11      6      7      7      8      6      5      4      7      4      5      2      6      7      3      7      3 |       6 
SEAS       18     33     24     21     15     16     19     31     25     19     29     16     21     23     14     19     15     21     19     17     15     16 |      21 
EQAS       34      9      4      2      2     11      4      9      3     10      3      3      5      2      3      3      2      5     10      2      1      3 |       6 
AUST       28     27     59     38     56     45     23     40     21     35     32     22     31     13     54     54     20     33     29     19     30     37 |      34 
Global    534    618    545    478    528    515    485    504    516    454    509    455    439    483    471    470    424    432    437    435    447    433 |     483 


Boreal forest fires: 

BONA        5     23      9      5      2     23     13     29     19     13     10      8     11     19     13     13     27     30     36      9     21     11 |      16 
TENA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
CEAM        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHSA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHSA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
EURO        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHAF        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHAF        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
BOAS       21     76     24     28     24     44     76      7     14     27     12     42     14     16     26     60     23     31     27     41     20     39 |      32 
TEAS        4      3      1      2      0      3      3      1      0      2      3      2      3      0      0      2      0      0      2      0      1      0 |       2 
SEAS        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
EQAS        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
AUST        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
