# Global Fire Emissions Database version 4.1 including small fire burned area (GFED4s)  
# Estimates for 2017 onwards based on relations between active fires and emissions  
# DM emissions estimates in 1E12 g DM for the globe, different regions, and different fire types 

All fire types combined: 

                                                                               Year                                                                 (Beta) (Beta)  '97-'18  
Region   1997   1998   1999   2000   2001   2002   2003   2004   2005   2006   2007   2008   2009   2010   2011   2012   2013   2014   2015   2016   2017   2018 |    Mean 
BONA       55    190     78     44     25    177    110    209    142    102     78     63     84    150    101    103    205    235    271     78    167     94 |     126 
TENA       22     26     41     43     22     36     33     25     30     40     56     42     29     32     39     50     32     36     62     40     59     53 |      39 
CEAM       44    361     51    117     33     44    132     31    106     57     65     57     65     41     92     35     79     31     45     54     65     49 |      76 
NHSA       73    102     56     74     77     46    121     66     49     42     85     51     56     62     27     37     41     66     61    103     43     68 |      64 
SHSA      684    884    810    369    369    644    516    752    918    434   1109    388    213   1144    307    594    285    404    543    511    551    321 |     580 
EURO       15     17     12     39     22     10     19     14     17     14     19     16     10     10     14     22     10      9      7     11     19      8 |      16 
MIDE        1      5      3      3      2      2      3      3      3      3      4      2      4      5      4      4      3      3      5      4      4      2 |       4 
NHAF     1014   1320   1077   1144    972   1021    928    856   1049    832    914    923    808    736    843    758    802    756    778    932    803    814 |     913 
SHAF     1272   1490   1269   1193   1586   1315   1391   1385   1456   1368   1300   1395   1393   1499   1440   1314   1422   1304   1309   1306   1341   1321 |    1367 
BOAS      200    596    212    233    211    340    588     95    139    281    123    381    141    186    216    450    174    272    221    311    162    293 |     265 
TEAS      176    161    106     97    120    157    115    135    129    142    141    164    141    116     89     98     73    134    150     74    117     75 |     124 
SEAS      171    362    285    212    135    155    180    346    260    201    338    151    244    299    166    236    228    282    236    227    167    181 |     231 
EQAS     2111    231    167     65     70    508    137    343    159    686     60     48    374     36    153    153    119    407    755     50     43    118 |     309 
AUST      212    195    390    252    370    327    244    257    143    270    216    141    225     86    337    343    158    228    195    133    201    241 |     235 
Global   6058   5951   4565   3891   4024   4790   4525   4525   4610   4480   4516   3833   3793   4411   3836   4204   3638   4174   4646   3840   3749   3643 |    4351 


Savanna, grassland, and shrubland fires: 

BONA        0      1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
TENA        8     10     12     18      7     13     10      9     13     15     15     12     10      9     15     16      8      9     15     14     14     21 |      13 
CEAM       23    132     27     60     18     23     52     14     50     26     29     29     29     23     44     20     33     17     20     25     31     24 |      35 
NHSA       51     68     43     57     54     39     67     53     39     35     57     39     44     41     24     29     32     50     44     56     34     50 |      46 
SHSA      412    426    414    176    266    380    279    342    364    203    470    212    127    470    165    318    160    199    243    235    278    165 |     287 
EURO        4      6      3     11      3      2      7      2      8      3      7      2      2      3      3      6      3      1      2      4      7      1 |       5 
MIDE        0      2      1      2      0      1      1      1      1      1      2      1      1      1      1      1      0      1      1      1      1      0 |       1 
NHAF      907   1120    951    980    865    905    847    768    916    724    798    830    726    654    745    675    722    678    675    802    714    726 |     806 
SHAF     1216   1424   1218   1132   1440   1183   1282   1258   1320   1239   1218   1283   1287   1376   1339   1226   1303   1203   1195   1187   1240   1218 |    1264 
BOAS        6      6      4      4      4      2      7      8      4     12      2     10      5      4      3      3      1      4      3      1      2      2 |       5 
TEAS       52     45     27     28     30     65     39     45     45     48     36     32     26     45     27     31     15     38     41     21     41     21 |      37 
SEAS      107    201    147    124     91     99    116    189    150    116    174     96    125    140     84    117     94    127    115    102     90     95 |     123 
EQAS      205     53     28     12     16     67     27     53     19     59     21     18     31     16     20     18     17     33     60     12     10     18 |      37 
AUST      170    163    354    226    333    268    138    241    129    208    191    131    187     78    320    324    123    200    172    115    182    221 |     204 
