# Global Fire Emissions Database version 4.1 including small fire burned area (GFED4s)  
# Estimates for 2017 onwards based on relations between active fires and emissions  

# NOTE THAT AQUA HAD ISSUES IN THE SECOND HALF OF AUGUST 2020; FOR THAT PERIOD THESE ESTIMATES ARE CONSERVATIVE  

# H2 emissions estimates in 1E10 g H2 for the globe, different regions, and different fire types 

All fire types combined: 

                                                                               Year                                                                 (Beta) (Beta) (Beta) (Beta) (Beta)  '97-'20  
Region   1997   1998   1999   2000   2001   2002   2003   2004   2005   2006   2007   2008   2009   2010   2011   2012   2013   2014   2015   2016   2017   2018   2019   2020   2021 |    Mean 
BONA       11     40     16      9      5     37     23     43     30     21     16     13     17     31     21     22     43     50     57     16     71     35     39      5    115 |      28 
TENA        4      5      8      8      4      7      6      5      6      8     11      8      6      7      8     10      6      7     12      8     16     17      5     36     31 |       9 
CEAM       10     95     11     27      7     10     34      7     26     13     15     13     16      8     22      7     20      6     11     13     16     10     18     16     11 |      18 
NHSA       15     22     11     15     16      8     29     13      9      8     18     10     11     13      5      7      8     13     13     25      8     16     24     19      6 |      14 
SHSA      157    222    199     91     77    150    124    192    245    109    291     92     47    303     73    144     66    100    139    129    135     70    147    189    153 |     146 
EURO        3      3      2      8      5      2      4      3      3      3      4      3      2      2      3      5      2      2      1      2      4      2      2      2      3 |       3 
MIDE        0      1      0      0      0      0      0      0      0      0      1      0      1      1      1      0      0      0      1      0      1      0      0      0      1 |       1 
NHAF      184    251    198    216    178    187    167    155    194    154    169    167    146    134    155    138    145    138    145    175    143    146    116    143    128 |     165 
SHAF      222    260    221    210    289    241    251    253    266    250    232    253    252    272    258    235    258    236    238    239    236    231    240    214    237 |     244 
BOAS       43    125     45     49     45     71    123     20     30     60     26     81     30     40     45     93     36     58     46     65     49     79    102     88    170 |      61 
TEAS       38     35     23     21     27     33     24     30     29     31     31     37     31     25     19     21     16     30     33     16     27     16     20     18     14 |      27 
SEAS       36     84     65     46     28     33     38     81     58     44     81     32     56     73     39     55     57     68     56     54     36     39     53     55     51 |      53 
EQAS      672     68     51     19     20    158     41    105     49    219     16     12    120      9     47     48     36    130    243     14     10     40    141      7      6 |      95 
AUST       38     35     68     44     65     58     46     45     25     48     37     25     41     15     58     60     29     40     35     23     38     46     98     35     23 |      44 
Global   1439   1252    925    771    773   1002    917    959    976    975    955    754    781    940    760    850    729    885   1037    787    795    753   1013    833    955 |     911 


Savanna, grassland, and shrubland fires: 

BONA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
TENA        1      1      2      3      1      2      1      1      2      2      2      2      1      1      2      2      1      1      2      2      3      6      1      7      4 |       3 
CEAM        3     22      4     10      3      4      8      2      8      4      5      4      4      4      7      3      5      3      3      4      5      4      6      5      4 |       6 
NHSA        8     11      7      9      9      6     11      9      6      6      9      6      7      7      4      4      5      8      7      9      5      9     10     11      4 |       8 
SHSA       70     72     70     30     45     64     47     58     61     34     80     36     21     79     28     54     27     33     41     40     46     25     53     65     63 |      50 
EURO        0      1      0      1      0      0      1      0      1      0      1      0      0      0      0      1      0      0      0      0      1      0      0      0      1 |       1 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      1 |       0 
NHAF      154    190    161    166    147    154    144    130    155    123    135    141    123    111    126    114    122    115    114    136    116    120     94    116    104 |     134 
SHAF      206    242    207    192    244    201    218    213    224    210    207    218    218    234    227    208    221    204    203    201    203    197    207    183    204 |     212 
BOAS        1      1      0      0      0      0      1      1      0      2      0      1      0      0      0      0      0      0      0      0      0      0      0      0      1 |       1 
TEAS        8      7      4      4      5     11      6      7      7      8      6      5      4      7      4      5      2      6      7      3      9      3      6      4      4 |       6 
SEAS       18     34     25     21     15     16     19     32     25     19     29     16     21     23     14     20     16     21     19     17     14     14     20     21     18 |      21 
EQAS       34      9      4      2      2     11      4      9      3     10      3      3      5      2      3      3      3      5     10      2      1      3      6      1      1 |       6 
AUST       29     27     60     38     56     45     23     41     22     35     32     22     31     13     54     55     21     34     29     19     32     40     43     18     20 |      35 
Global    538    623    550    482    532    519    489    508    520    458    514    459    443    487    475    474    427    436    441    438    442    425    451    435    434 |     482 


Boreal forest fires: 

BONA        8     32     13      6      3     32     18     40     26     18     14     11     15     26     18     17     38     41     49     13     64     30     30      3     98 |      24 
TENA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
CEAM        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHSA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHSA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
EURO        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
