# Global Fire Emissions Database version 4.1 including small fire burned area (GFED4s)  
# Estimates for 2017 onwards based on relations between active fires and emissions  
# Estimates for 2018 for January - September 21, will be updated with ~1 month latency  
# HCN emissions estimates in 1E9 g HCN for the globe, different regions, and different fire types 

All fire types combined: 

                                                                               Year                                                                 (Beta) (Beta)  '97-'17  
Region   1997   1998   1999   2000   2001   2002   2003   2004   2005   2006   2007   2008   2009   2010   2011   2012   2013   2014   2015   2016   2017   2018 |    Mean 
BONA       86    327    140     70     39    335    227    365    266    188    147    116    146    269    184    209    403    474    523    155    287    147 |     237 
TENA       11     13     23     22     11     20     17     11     14     21     32     23     13     13     19     28     18     20     35     21     34     22 |      20 
CEAM       17    147     20     46     13     17     53     11     42     23     26     23     25     16     37     14     32     12     17     21     26     18 |      31 
NHSA       29     41     22     30     31     18     49     27     20     17     34     20     22     25     11     14     16     27     24     42     17     22 |      26 
SHSA      284    367    338    155    153    268    216    313    382    180    461    161     89    476    128    246    118    168    226    212    228     62 |     247 
EURO        6      7      4     14      7      3      8      4      7      5      7      5      3      3      5      8      3      3      3      4      8      1 |       6 
MIDE        0      1      1      1      1      1      1      1      1      1      1      0      1      1      1      1      1      1      1      1      1      0 |       1 
NHAF      407    533    434    461    391    411    375    344    421    333    367    371    325    295    339    305    323    305    313    375    323    187 |     370 
SHAF      517    606    516    486    644    534    567    563    592    556    530    569    568    611    587    535    580    532    534    533    546    376 |     558 
BOAS      250    849    284    330    308    497    879    105    182    337    155    496    187    245    297    694    278    365    302    490    233    439 |     370 
TEAS      108     96     58     59     51     86     75     66     53     76     82     83     81     53     44     59     32     57     76     31     55     28 |      66 
SEAS       71    152    125     91     59     64     77    146    108     86    142     64    104    127     69    101     96    121     98     96     69     67 |      99 
EQAS     8059    217    305     66    221   1539    370    876    582   2708     66     57   1537     28    552    544    369   1538   3036     91     62    134 |    1087 
AUST       97     87    166    109    158    148    129    106     59    126     95     59     99     36    139    143     72     98     82     58     84     52 |     103 
Global   9949   3451   2443   1946   2094   3950   3050   2945   2735   4663   2151   2059   3207   2208   2419   2910   2347   3726   5276   2136   1980   1562 |    3222 


Savanna, grassland, and shrubland fires: 

BONA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
TENA        3      4      5      7      2      5      4      3      5      6      6      5      4      3      6      6      3      4      6      5      5      7 |       5 
CEAM        9     54     11     24      7      9     21      6     20     10     12     11     12      9     18      8     13      7      8     10     12      9 |      14 
NHSA       21     28     17     23     22     16     27     21     16     14     23     16     18     17      9     11     13     20     18     23     14     16 |      19 
SHSA      168    175    170     72    109    156    114    140    149     83    192     86     52    192     67    130     65     81     99     96    113     33 |     120 
EURO        2      2      1      4      1      1      3      1      3      1      2      0      1      1      1      2      1      0      1      2      2      0 |       2 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       1 
NHAF      372    459    390    402    354    371    347    314    375    297    327    340    298    268    305    277    296    278    276    328    293    166 |     332 
SHAF      498    584    499    464    590    485    525    516    541    508    499    526    527    564    549    502    534    493    490    486    508    346 |     519 
BOAS        2      2      1      1      1      0      2      3      1      5      0      4      2      1      1      1      0      1      1      0      1      1 |       2 
TEAS       21     18     11     11     12     26     16     18     18     19     14     13     10     18     11     12      6     15     17      8     16      6 |      15 
SEAS       43     82     60     51     37     40     47     77     61     47     71     39     51     57     34     48     38     52     47     42     36     35 |      51 
EQAS       84     21     11      5      6     27     11     21      8     24      8      7     12      6      8      7      7     13     25      5      4      3 |      16 
AUST       70     66    145     92    136    110     56     99     53     85     78     53     77     32    131    132     50     82     70     47     74     45 |      83 
Global   1299   1503   1326   1162   1285   1252   1179   1225   1256   1105   1239   1107   1068   1175   1146   1143   1032   1051   1063   1058   1086    672 |    1180 


Boreal forest fires: 

BONA       60    242     99     52     23    242    139    301    197    139    108     87    112    201    140    134    285    313    372    100    218    115 |     170 
TENA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
CEAM        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHSA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHSA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
EURO        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHAF        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHAF        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
BOAS      215    775    248    287    253    449    778     79    147    284    131    432    149    168    270    622    241    325    275    428    211    396 |     323 
TEAS       48     38     17     27      9     35     40     16      5     29     38     29     33      6      9     27      4      6     26      4     14      7 |      22 
SEAS        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
EQAS        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
AUST        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
Global    324   1057    365    366    286    728    958    396    351    453    278    552    295    376    421    784    531    645    675    533    444    519 |     516 


Temperate forest fires: 

BONA        8      9      4      1      4      3      5      1      1      3      1      1      3      6      1      2      1      5      4      3     10      7 |       4 
TENA        6      7     16     13      6     13     10      5      6     12     22     15      7      5     10     20     13     14     26     12     26     13 |      13 
CEAM        0      4      1      1      0      0      0      0      0      1      1      2      0      0      1      1      0      0      0      0      1      1 |       1 
NHSA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHSA       11      9     13      9      6      8      9      9      6      5      7      6      7      7      6      6      7      5      6      6      7      2 |       8 
EURO        2      1      1      2      0      1      2      0      1      1      1      1      0      0      1      2      0      0      0      0      2      0 |       1 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHAF        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHAF        0      1      0      0      1      0      1      0      1      0      1      0      0      1      0      0      0      0      0      0      0      0 |       1 
BOAS        6      5      6      1      3      7      2      3      1     11      2      4      4     16      2      2      1      5      2      1      1      2 |       5 
TEAS       17     19     16      8      9      6      7     11      8      8      9     13     16     14     11      7     10     13     10      6      7      5 |      11 
SEAS        8     11     22     13      9      4     11     11     11     12      9      8     16     13      7     15     11     17      8     12      7      8 |      12 
EQAS        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
AUST       25     18     17     14     16     34     68      4      3     37     15      3     17      3      3      6     17     12      6      8      5      5 |      16 
Global     87     89    100     67     58     81    119     48     42     96     74     58     73     70     48     66     64     75     66     54     72     48 |      72 


Tropical deforestation & degradation: 

BONA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
TENA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
CEAM        5     77      4     14      3      5     27      1     16      6      8      6      9      2     13      2     13      2      6      7      8      5 |      12 
NHSA        7     11      3      5      7      1     20      4      2      1      9      3      2      7      0      2      2      5      5     18      2      5 |       6 
SHSA       97    175    147     68     34     98     86    158    222     86    255     62     24    270     49    103     39     75    114    103    102     25 |     113 
EURO        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHAF       14     52     25     39     19     21     15     13     21     16     20     11     11     10     17     12     11     13     20     30     15     12 |      20 
SHAF        7      7      5     11     36     34     30     34     35     35     20     33     31     36     28     22     35     29     34     36     27     20 |      27 
BOAS        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
TEAS        1      2      1      1      0      0      1      3      1      0      1      1      1      2      0      0      0      0      0      0      0      0 |       1 
SEAS       14     50     34     21     10     15     14     50     27     21     55     12     29     50     22     32     40     44     34     33     19     20 |      30 
EQAS      390     64     43     18     10    105     26     77     28    125     12      8     65      6     27     28     23     80    140     11      9     10 |      62 
AUST        0      1      2      1      2      2      3      1      2      2      0      1      4      0      2      2      3      3      4      1      2      0 |       2 
Global    539    443    269    182    125    286    226    345    358    295    384    141    180    386    162    206    171    255    360    242    189    100 |     274 


Peat fires: 

BONA       16     73     35     15     10     88     82     62     66     45     37     27     29     61     41     72    115    155    145     51     57     24 |      62 
TENA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
CEAM        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
