# Global Fire Emissions Database version 4.1 including small fire burned area (GFED4s)  
# Estimates for 2017 onwards based on relations between active fires and emissions  
# Estimates for 2018 for January - September 21, will be updated with ~1 month latency  
# HOCH2CHO emissions estimates in 1E9 g HOCH2CHO for the globe, different regions, and different fire types 

All fire types combined: 

                                                                               Year                                                                 (Beta) (Beta)  '97-'17  
Region   1997   1998   1999   2000   2001   2002   2003   2004   2005   2006   2007   2008   2009   2010   2011   2012   2013   2014   2015   2016   2017   2018 |    Mean 
BONA       46    160     66     36     21    150     93    178    121     87     67     54     71    128     86     87    174    199    230     66    143     77 |     108 
TENA       13     15     27     24     14     22     21     15     16     23     37     27     17     20     23     32     21     24     42     24     41     23 |      24 
CEAM       21    202     24     56     15     21     71     15     54     29     33     28     33     18     46     15     42     14     23     27     33     22 |      40 
NHSA       29     41     20     26     31     15     56     23     17     14     34     18     19     26      8     13     15     24     23     48     15     21 |      25 
SHSA      305    445    398    187    143    291    246    390    502    222    591    184     96    617    146    284    132    201    283    263    270     72 |     296 
EURO        9      9      7     23     14      6     10      8      9      9     10     10      6      6      9     13      6      6      4      6     11      2 |      10 
MIDE        1      2      1      1      1      1      1      2      1      1      2      1      2      2      2      2      2      2      3      2      2      0 |       2 
NHAF      303    425    328    364    294    310    270    255    325    259    283    274    240    222    257    228    238    226    243    295    243    143 |     281 
SHAF      344    404    341    327    466    392    400    407    429    403    364    403    399    434    408    371    412    374    382    384    384    269 |     392 
BOAS      162    498    175    192    173    286    491     72    112    224    100    309    113    150    179    380    147    225    183    263    136    243 |     218 
TEAS      110    101     68     60     74     86     69     79     73     83     89    107     94     65     54     60     47     81     92     44     66     36 |      77 
SEAS       74    171    142     98     56     66     78    165    119     93    166     66    121    154     82    119    124    148    119    119     78     77 |     113 
EQAS     1460    144    109     42     44    342     88    227    108    478     34     26    261     19    103    104     79    284    529     31     26     32 |     216 
AUST       77     68    117     78    113    116    124     72     43    103     68     41     77     26     92     96     59     72     60     43     59     37 |      77 
Global   2961   2694   1830   1521   1465   2111   2026   1915   1935   2036   1886   1556   1557   1893   1502   1810   1505   1887   2222   1621   1511   1061 |    1879 


Savanna, grassland, and shrubland fires: 

BONA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
TENA        2      2      3      4      1      3      2      2      3      3      3      3      2      2      3      4      2      2      3      3      3      4 |       3 
CEAM        5     33      6     15      4      5     13      3     12      6      7      7      7      5     11      5      8      4      5      6      7      5 |       9 
NHSA       12     17     10     14     13      9     16     13      9      8     14      9     11     10      6      7      8     12     11     14      8      9 |      11 
SHSA      103    106    103     44     66     95     69     85     91     50    117     53     31    117     41     79     40     49     60     58     69     20 |      73 
EURO        1      1      0      2      0      0      1      0      2      0      1      0      0      0      0      1      0      0      0      1      1      0 |       1 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHAF      226    280    237    245    216    226    211    192    229    181    199    207    181    163    186    168    180    169    168    200    178    101 |     203 
SHAF      304    356    304    283    360    295    320    314    330    309    304    320    321    344    334    306    325    300    298    296    310    211 |     316 
BOAS        1      1      1      1      1      0      1      2      1      3      0      2      1      1      0      0      0      1      0      0      0      0 |       1 
TEAS       13     11      6      7      7     16      9     11     11     12      9      8      6     11      6      7      3      9     10      5     10      3 |       9 
SEAS       26     50     36     31     22     24     29     47     37     29     43     24     31     35     21     29     23     31     28     25     22     21 |      31 
EQAS       51     13      7      3      4     16      6     13      4     14      5      4      7      4      5      4      4      8     15      3      2      2 |      10 
AUST       42     40     88     56     83     67     34     60     32     52     47     32     46     19     80     81     30     50     43     28     45     27 |      51 
Global    792    916    808    709    783    763    719    747    766    674    756    675    651    716    699    697    629    641    648    645    662    409 |     719 


Boreal forest fires: 

BONA       34    137     56     29     13    137     79    170    112     78     61     49     63    113     79     76    161    177    210     56    123     65 |      96 
TENA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
CEAM        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHSA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHSA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
EURO        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHAF        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHAF        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
BOAS      121    438    140    162    143    254    440     44     83    160     74    244     84     95    153    352    136    184    156    242    119    224 |     183 
TEAS       27     21      9     15      5     20     22      9      3     16     21     16     18      3      5     15      2      3     14      2      8      4 |      13 
SEAS        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
EQAS        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
AUST        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
Global    183    598    206    207    161    412    542    224    199    256    157    312    167    213    238    443    300    365    382    301    251    294 |     292 


Temperate forest fires: 

BONA        9     10      4      1      4      3      6      1      2      4      1      1      3      7      1      2      1      6      5      3     12      9 |       5 
TENA        7      9     19     15      7     16     12      6      8     14     27     18      8      6     12     24     15     17     31     15     31     16 |      16 
CEAM        0      4      2      2      0      0      0      0      0      1      1      2      0      0      1      1      0      0      0      0      1      1 |       1 
NHSA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHSA       13     11     15     10      7     10     11     10      7      6      9      8      8      9      7      8      8      6      7      7      9      3 |       9 
EURO        2      2      1      2      0      1      3      0      1      1      1      1      1      0      1      2      0      0      1      0      3      0 |       2 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHAF        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHAF        1      2      0      0      1      0      1      0      1      0      1      0      0      1      0      0      0      0      0      1      1      0 |       1 
BOAS        8      6      7      2      4      9      2      4      2     13      3      5      5     19      3      2      1      6      2      1      2      3 |       5 
