# Global Fire Emissions Database version 4.1 including small fire burned area (GFED4s)  
# Estimates for 2017 onwards based on relations between active fires and emissions  

# NOTE THAT AQUA HAD ISSUES IN THE SECOND HALF OF AUGUST 2020; FOR THAT PERIOD THESE ESTIMATES ARE CONSERVATIVE  

# Higher_Alkenes emissions estimates in 1E9 g Higher_Alkenes for the globe, different regions, and different fire types 

All fire types combined: 

                                                                               Year                                                                 (Beta) (Beta) (Beta) (Beta) (Beta)  '97-'20  
Region   1997   1998   1999   2000   2001   2002   2003   2004   2005   2006   2007   2008   2009   2010   2011   2012   2013   2014   2015   2016   2017   2018   2019   2020   2021 |    Mean 
BONA       20     71     29     16      9     66     41     79     53     38     29     23     31     56     38     38     77     88    102     29    132     65     71      8    208 |      51 
TENA        6      7     12     11      6     10      9      7      7     10     16     12      7      9     10     14      9     10     19     11     24     24      6     57     50 |      13 
CEAM        9     82     10     24      6      9     29      7     22     12     14     12     14      8     19      7     17      6     10     11     14     10     16     14     10 |      16 
NHSA       13     18      9     12     13      7     23     10      8      6     15      8      9     11      4      6      7     11     10     20      6     13     20     15      5 |      12 
SHSA      130    181    164     77     64    123    103    157    198     90    235     77     42    244     61    118     56     83    114    107    113     58    120    155    125 |     120 
EURO        4      4      3     10      6      2      5      4      4      4      5      5      2      2      4      6      2      2      2      2      6      2      3      2      4 |       4 
MIDE        0      1      0      0      0      0      0      0      0      0      1      0      1      1      1      1      1      0      1      1      1      0      1      1      1 |       1 
NHAF      153    207    164    178    147    155    137    129    162    129    141    139    121    112    129    115    121    114    121    145    119    121     97    119    106 |     137 
SHAF      179    210    178    169    234    196    202    204    215    202    186    202    201    218    207    189    207    189    191    191    189    186    193    172    191 |     197 
BOAS       73    223     78     86     78    128    220     32     50    101     45    139     51     67     80    170     65    101     82    117     88    144    186    162    313 |     107 
TEAS       50     46     31     28     34     40     31     36     34     39     41     49     43     30     25     27     22     37     43     21     32     20     24     23     17 |      34 
SEAS       33     73     61     43     25     29     35     70     52     40     69     29     52     64     35     50     51     62     50     50     33     35     48     49     47 |      48 
EQAS      539     55     41     15     17    127     33     85     40    176     13     10     96      7     38     38     29    104    194     11      8     32    113      6      5 |      77 
AUST       37     33     59     39     57     56     56     37     21     49     34     20     37     13     47     49     28     35     30     21     32     38    130     43     19 |      42 
Global   1252   1217    845    715    704    955    930    863    874    905    851    735    715    850    704    834    698    849    973    744    803    755   1032    832   1108 |     860 


Savanna, grassland, and shrubland fires: 

BONA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
TENA        1      1      1      2      0      1      1      1      1      2      2      1      1      1      2      2      1      1      2      1      2      4      1      5      3 |       2 
CEAM        3     17      3      8      2      3      6      1      6      3      3      3      3      3      5      2      4      2      2      3      4      3      4      4      3 |       5 
NHSA        6      9      5      7      7      5      8      7      5      4      7      5      5      5      3      3      4      6      5      7      4      7      8      8      3 |       6 
SHSA       54     56     55     23     35     50     37     45     48     27     62     28     16     62     22     42     21     26     32     31     36     19     41     51     49 |      39 
EURO        0      0      0      1      0      0      0      0      1      0      0      0      0      0      0      0      0      0      0      0      1      0      0      0      0 |       1 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHAF      120    149    126    130    115    120    112    102    121     96    106    110     96     87     99     89     96     90     89    106     91     93     73     91     82 |     105 
SHAF      161    189    162    150    191    157    170    167    175    164    162    170    171    183    178    163    173    160    159    157    159    154    162    143    159 |     166 
BOAS        0      0      0      0      0      0      0      1      0      1      0      1      0      0      0      0      0      0      0      0      0      0      0      0      0 |       1 
TEAS        6      6      3      3      4      8      5      6      6      6      4      4      3      6      3      4      2      5      5      2      7      3      5      3      3 |       5 
