# Global Fire Emissions Database version 4.1 including small fire burned area (GFED4s)  
# Estimates for 2017 onwards based on relations between active fires and emissions  

# NOTE THAT AQUA HAD ISSUES IN THE SECOND HALF OF AUGUST 2020; FOR THAT PERIOD THESE ESTIMATES ARE CONSERVATIVE  

# MEK emissions estimates in 1E9 g MEK for the globe, different regions, and different fire types 

All fire types combined: 

                                                                               Year                                                                 (Beta) (Beta) (Beta) (Beta) (Beta)  '97-'20  
Region   1997   1998   1999   2000   2001   2002   2003   2004   2005   2006   2007   2008   2009   2010   2011   2012   2013   2014   2015   2016   2017   2018   2019   2020   2021 |    Mean 
BONA       13     48     19     13      7     42     26     49     34     24     18     15     20     35     24     26     49     58     65     19     77     39     41      7    126 |      32 
TENA        7      8     11     11      8      8     11     10     10     11     15     12     11     16     13     12      9      9     17     12     20     20      8     35     29 |      13 
CEAM       18    152     20     46     13     17     55     15     43     24     27     22     28     17     36     13     33     12     20     22     27     18     31     28     20 |      31 
NHSA       22     31     15     20     24     12     41     17     13     11     26     14     16     19      6     10     11     18     18     35     11     22     34     26      8 |      20 
SHSA      215    311    277    130    102    203    171    270    346    156    408    130     69    425    103    200     95    142    198    185    187     98    203    261    208 |     204 
EURO        8      9      7     24     16      5      9      9      8      8     10     11      6      6      9     13      6      6      3      6     11      5      8      5      8 |       9 
MIDE        1      3      2      1      1      1      2      2      2      2      2      1      3      3      2      2      2      2      3      2      2      1      2      2      3 |       2 
NHAF      246    333    260    287    234    247    211    205    265    213    229    223    193    182    206    185    191    180    195    233    190    192    156    191    172 |     219 
SHAF      262    308    260    248    355    299    300    309    325    305    273    301    297    323    305    279    308    279    285    286    281    278    287    258    285 |     293 
BOAS       71    177     69     74     68     93    170     39     53    104     47    134     50     69     67    119     45     90     69     83     65     98    126    109    200 |      88 
TEAS       78     71     49     45     71     70     48     65     71     70     72     95     74     51     43     45     41     75     81     42     64     39     46     44     31 |      61 
SEAS       54    120     93     66     36     48     52    115     87     63    116     45     84    106     59     80     87    101     88     84     55     60     80     83     74 |      78 
EQAS     1007    102     76     29     31    238     62    158     75    329     25     20    180     14     72     72     55    194    361     22     15     61    211     11     10 |     143 
AUST       40     38     75     47     72     62     44     51     30     51     39     27     45     17     66     66     31     45     39     26     44     52     91     33     26 |      48 
Global   2048   1716   1239   1048   1045   1354   1207   1323   1370   1377   1315   1058   1082   1291   1018   1127    970   1218   1449   1063   1056    988   1333   1100   1207 |    1242 


Savanna, grassland, and shrubland fires: 

BONA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
TENA        1      1      2      3      1      2      1      1      2      2      2      2      1      1      2      2      1      1      2      2      4      6      1      7      5 |       3 
CEAM        4     23      4     10      3      4      9      2      9      4      5      5      5      4      8      3      6      3      3      4      5      4      6      5      4 |       6 
NHSA        9     12      7     10      9      7     12      9      7      6     10      7      8      7      4      5      5      9      8     10      5     10     11     11      4 |       9 
