# Global Fire Emissions Database version 4.1 including small fire burned area (GFED4s)  
# Estimates for 2017 onwards based on relations between active fires and emissions  

# NOTE THAT AQUA HAD ISSUES IN THE SECOND HALF OF AUGUST 2020; FOR THAT PERIOD THESE ESTIMATES ARE CONSERVATIVE  

# N2O emissions estimates in 1E9 g N2O for the globe, different regions, and different fire types 

All fire types combined: 

                                                                               Year                                                                 (Beta) (Beta) (Beta) (Beta) (Beta)  '97-'20  
Region   1997   1998   1999   2000   2001   2002   2003   2004   2005   2006   2007   2008   2009   2010   2011   2012   2013   2014   2015   2016   2017   2018   2019   2020   2021 |    Mean 
BONA       18     70     29     15      7     68     41     83     55     39     30     24     31     57     39     38     80     89    105     29    135     65     67      8    210 |      51 
TENA        3      4      6      7      3      6      5      3      4      6      9      6      4      4      6      8      5      5     10      6     13     15      3     30     25 |       8 
CEAM        8     68      9     21      6      8     25      5     19     10     11     10     11      7     17      6     14      5      8      9     12      8     14     12      9 |      14 
NHSA       14     19     10     14     15      9     23     12      9      8     16      9     10     12      5      7      8     12     11     20      8     14     20     17      6 |      13 
SHSA      133    173    158     71     72    126    101    148    181     84    219     75     40    226     59    116     54     78    106     99    107     56    118    150    127 |     115 
EURO        2      2      1      5      2      1      2      1      2      2      2      1      1      1      1      3      1      1      1      1      3      1      1      1      2 |       2 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      1 |       1 
NHAF      195    256    208    221    188    197    181    165    201    159    176    178    156    141    163    146    155    146    150    180    150    154    121    150    134 |     173 
SHAF      250    293    250    235    311    258    274    272    286    269    256    275    275    296    284    259    281    257    258    258    257    251    261    232    258 |     267 
BOAS       65    219     73     82     74    126    219     27     44     88     39    128     45     55     77    173     67     94     79    119     89    146    191    167    326 |     104 
TEAS       34     30     18     19     17     30     24     23     19     26     26     27     25     19     14     19     10     19     25     11     21     11     15     12     10 |      21 
SEAS       31     69     53     40     25     29     34     66     48     37     65     28     45     57     31     44     42     53     44     42     29     31     42     44     41 |      43 
EQAS      418     45     32     12     13    100     26     67     31    135     11      9     74      7     30     30     23     80    150      9      6     25     88      5      4 |      60 
AUST       40     37     76     49     72     63     44     50     28     51     42     28     43     16     66     67     30     44     38     26     41     51     93     34     25 |      48 
Global   1218   1293    930    797    812   1026   1005    929    936    920    909    805    768    903    799    922    776    892    990    815    877    834   1041    868   1184 |     920 


Savanna, grassland, and shrubland fires: 

BONA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
TENA        1      2      2      3      1      2      2      1      2      3      3      2      2      1      3      3      1      1      3      2      4      7      2      8      5 |       3 
CEAM        4     26      5     12      3      4     10      2     10      5      5      5      5      4      8      4      6      3      4      5      6      4      7      6      5 |       7 
NHSA       10     13      8     11     10      7     13     10      7      7     11      7      8      8      4      5      6     10      8     11      6     11     12     13      5 |      10 
SHSA       82     85     82     35     53     76     55     68     72     40     94     42     25     94     33     63     32     39     48     47     55     29     62     77     74 |      58 
EURO        0      1      0      2      0      0      1      0      1      0      1      0      0      0      0      1      0      0      0      0      1      0      0      0      1 |       1 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      1 |       0 
NHAF      181    224    190    196    173    181    169    153    183    144    159    166    145    130    149    135    144    135    135    160    137    141    110    137    123 |     158 
SHAF      243    284    243    226    288    236    256    251    264    247    243    256    257    275    267    245    260    240    239    237    239    232    243    215    240 |     250 
BOAS        1      1      0      0      0      0      1      1      0      2      0      2      1      0      0      0      0      0      0      0      0      0      0      0      1 |       1 
TEAS       10      9      5      5      6     13      7      9      9      9      7      6      5      9      5      6      3      7      8      4     10      4      7      4      4 |       7 
SEAS       21     40     29     24     18     19     23     37     30     23     34     19     25     28     16     23     18     25     23     20     16     17     23     25     22 |      24 
EQAS       41     10      5      2      3     13      5     10      3     11      4      3      6      3      4      3      3      6     12      2      1      3      8      1      1 |       7 
