# Global Fire Emissions Database version 4.1 including small fire burned area (GFED4s)  
# Estimates for 2017 onwards based on relations between active fires and emissions  
# Estimates for 2018 for January - May, will be updated with ~1 month latency  
# NH3 emissions estimates in 1E9 g NH3 for the globe, different regions, and different fire types 

All fire types combined: 

                                                                               Year                                                                 (Beta) (Beta)  '97-'17  
Region   1997   1998   1999   2000   2001   2002   2003   2004   2005   2006   2007   2008   2009   2010   2011   2012   2013   2014   2015   2016   2017   2018 |    Mean 
BONA      124    473    194    109     54    457    271    553    371    262    203    164    213    380    263    261    534    598    700    194    417     14 |     324 
TENA       23     27     39     38     24     31     35     30     31     38     55     42     32     45     40     45     31     35     61     39     56     12 |      39 
CEAM       47    403     53    122     34     46    145     40    113     64     72     59     73     44     96     35     88     32     52     59     70     41 |      84 
NHSA       60     85     43     55     64     32    110     48     37     31     71     38     43     53     18     28     32     51     49     95     32     42 |      52 
SHSA      590    845    755    355    283    558    469    734    936    424   1106    356    190   1152    282    545    260    386    537    501    511     29 |     561 
EURO       22     24     19     62     40     15     25     24     22     23     27     29     16     16     23     34     15     16     10     15     25      2 |      24 
MIDE        2      7      5      4      4      4      5      5      5      5      6      4      8      7      7      5      6      5      9      6      6      0 |       6 
NHAF      673    912    715    786    643    679    585    564    723    579    626    611    530    498    565    506    526    494    534    639    533    306 |     616 
SHAF      737    865    732    697    989    832    841    861    906    851    768    843    835    907    857    782    863    784    798    801    807     42 |     827 
BOAS      488   1550    530    596    532    879   1534    212    344    670    306    953    341    423    555   1187    458    691    568    820    423    188 |     670 
TEAS      278    246    157    157    194    233    183    195    191    222    240    285    242    149    130    157    115    204    246    115    176     59 |     196 
SEAS      151    331    265    187    104    132    149    317    239    177    318    128    234    292    163    225    238    280    238    232    155    145 |     217 
EQAS     2678    271    204     79     84    633    165    421    200    875     68     53    479     38    192    192    146    518    961     58     50     10 |     399 
AUST      130    119    224    145    216    198    169    148     87    168    123     80    138     51    189    192    100    135    117     80    119     42 |     140 
Global   6010   6168   3943   3399   3278   4737   4694   4162   4213   4398   3994   3660   3384   4062   3388   4201   3420   4239   4887   3663   3387    940 |    4157 


Savanna, grassland, and shrubland fires: 

BONA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
TENA        4      5      6      9      3      7      5      4      6      8      7      6      5      4      8      8      4      5      8      7      7      2 |       6 
CEAM       12     68     14     31      9     12     27      7     26     13     15     15     15     12     23     10     17      9     10     13     16     10 |      18 
NHSA       27     35     22     29     28     20     35     27     20     18     29     20     23     21     12     15     16     26     23     29     18     19 |      24 
SHSA      214    222    215     91    138    198    145    178    189    106    244    110     66    244     86    165     83    103    126    122    144     10 |     152 
EURO        2      3      1      5      1      1      3      1      4      1      3      1      1      1      1      3      1      0      1      2      3      0 |       2 
MIDE        0      1      0      1      0      0      0      0      0      0      1      0      0      0      0      0      0      0      0      0      0      0 |       1 
NHAF      472    582    494    509    449    471    440    399    476    376    415    431    377    340    387    351    375    352    351    417    371    208 |     421 
SHAF      632    740    633    588    749    615    666    654    686    644    633    667    669    715    696    637    677    625    621    617    645     28 |     658 
BOAS        3      3      2      2      2      1      3      4      2      6      1      5      2      2      1      1      0      2      1      0      1      1 |       3 
TEAS       27     23     14     14     15     34     20     23     23     25     18     17     13     23     14     16      8     19     21     10     21      4 |      19 
SEAS       55    104     76     64     47     51     60     98     78     60     90     49     65     73     44     61     48     66     59     53     46     44 |      65 
EQAS      106     27     14      6      8     35     14     27     10     30     10      9     16      8     10      9      9     17     31      6      5      1 |      20 
AUST       88     84    184    117    173    139     72    125     67    108     99     68     97     40    166    168     64    104     89     60     95     32 |     106 
Global   1647   1906   1682   1474   1630   1588   1496   1554   1593   1402   1572   1404   1355   1490   1454   1450   1309   1334   1349   1342   1377    364 |    1496 


Boreal forest fires: 

BONA      107    433    178     93     42    434    250    538    354    248    193    155    200    360    251    240    510    560    667    179    390     12 |     305 
TENA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
CEAM        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHSA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHSA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
EURO        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHAF        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHAF        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
BOAS      385   1388    444    514    453    804   1392    142    264    508    234    773    267    301    484   1113    432    582    493    766    378    148 |     578 
TEAS       87     68     30     48     16     64     72     28     10     53     69     52     59     11     17     49      7     12     47      8     26     10 |      40 
SEAS        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
EQAS        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
AUST        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
Global    581   1891    653    656    512   1303   1714    709    629    811    497    989    528    673    754   1403    950   1155   1208    954    796    171 |     923 


Temperate forest fires: 

BONA        9     10      4      1      4      3      5      1      2      4      1      1      3      7      1      2      1      6      5      3     12      0 |       5 
TENA        7      8     18     15      7     16     12      6      7     14     26     18      8      6     12     23     15     17     30     14     30      2 |      15 
CEAM        0      4      2      2      0      0      0      0      0      1      1      2      0      0      1      1      0      0      0      0      1      1 |       1 
NHSA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHSA       12     11     15     10      7      9     11     10      7      6      8      7      8      9      7      8      8      6      7      7      9      1 |       9 
EURO        2      2      1      2      0      1      3      0      1      1      1      1      1      0      1      2      0      0      1      0      3      0 |       2 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHAF        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHAF        1      2      0      0      1      0      1      0      1      0      1      0      0      1      0      0      0      0      0      1      1      0 |       1 
BOAS        7      6      7      2      3      9      2      4      1     13      2      5      5     18      2      2      1      6      2      1      2      2 |       5 
TEAS       20     22     18      9     11      7      8     13      9     10     10     15     19     16     13      9     12     15     12      7      8      4 |      13 
SEAS        9     13     26     15     11      5     13     13     12     15     11     10     19     15      8     18     13     20      9     15      8     10 |      14 
EQAS        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
AUST       29     21     20     17     19     40     80      5      3     44     18      4     19      4      4      7     20     14      7      9      6      4 |      19 
Global    101    104    117     78     68     95    139     56     49    112     86     68     86     81     56     77     75     88     77     63     84     27 |      84 


Tropical deforestation & degradation: 

BONA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
TENA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
CEAM       15    245     15     45     10     15     86      6     53     22     28     19     30      7     44      6     43      7     20     24     27     15 |      37 
NHSA       22     37     12     18     24      6     66     13      9      4     30     10      8     23      2      6      9     16     17     57      8     17 |      19 
SHSA      308    555    466    217    107    310    274    502    703    273    808    197     78    856    156    327    126    239    362    328    325     12 |     358 
EURO        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHAF       46    164     81    124     62     68     49     41     66     51     64     37     37     32     56     39     37     43     66     95     50     37 |      63 
SHAF       23     24     16     37    115    108     95    107    113    112     64    106    100    115     89     72    112     94    108    115     86      5 |      87 
BOAS        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
TEAS        6      8      5      3      2      1      4     12      4      2      5      3      4      8      0      1      1      1      1      0      1      1 |       4 
SEAS       44    160    110     68     32     50     46    159     88     66    174     40     91    159     71    101    127    141    109    107     62     63 |      96 
EQAS     1236    203    136     59     33    335     84    244     89    397     38     26    207     20     85     90     75    253    443     35     31      5 |     197 
AUST        3      4      8      3      9      8     10      5      7      6      2      4     14      0      7      8     10     10     13      5      7      0 |       7 
Global   1706   1405    853    578    397    905    718   1093   1136    935   1217    446    572   1224    514    655    543    809   1142    769    600    160 |     868 


Peat fires: 

BONA        2     12      5      2      1     14     13     10     10      7      6      4      4     10      6     11     18     25     23      8      9      0 |      10 
TENA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
CEAM        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHSA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHSA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
EURO        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHAF        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
