# Global Fire Emissions Database version 4.1 including small fire burned area (GFED4s)  
# Estimates for 2017 onwards based on relations between active fires and emissions  
# Estimates for 2018 for January - September 21, will be updated with ~1 month latency  
# NMHC emissions estimates in 1E10 g NMHC for the globe, different regions, and different fire types 

All fire types combined: 

                                                                               Year                                                                 (Beta) (Beta)  '97-'17  
Region   1997   1998   1999   2000   2001   2002   2003   2004   2005   2006   2007   2008   2009   2010   2011   2012   2013   2014   2015   2016   2017   2018 |    Mean 
BONA       45    153     63     36     20    141     85    170    114     82     63     51     68    121     81     81    163    185    216     61    136     74 |     102 
TENA       15     18     29     27     16     24     23     18     20     26     41     30     20     25     27     35     23     26     46     27     44     26 |      27 
CEAM       19    119     23     48     14     18     43     17     39     25     27     25     26     20     35     16     30     14     19     22     27     19 |      30 
NHSA       25     33     20     25     27     17     35     23     17     16     28     18     21     21      9     13     14     23     21     30     15     18 |      22 
SHSA      217    253    242    114    125    197    159    211    237    128    292    123     79    297     98    178     98    121    155    149    159     47 |     173 
EURO       12     12      9     31     19      7     13     12     11     12     14     14      8      8     12     18      7      8      5      8     14      3 |      13 
MIDE        1      3      2      2      2      2      2      2      2      2      3      2      3      3      3      2      3      2      4      3      3      1 |       3 
NHAF      385    477    397    418    362    380    338    322    402    321    346    351    304    283    316    287    302    281    291    342    300    171 |     344 
SHAF      454    534    454    422    562    466    484    487    512    479    455    481    480    518    499    459    491    450    451    450    468    325 |     479 
BOAS      170    504    180    196    176    286    492     78    118    238    106    323    118    156    183    375    144    232    187    259    138    240 |     222 
TEAS      128    116     78     71     94    107     79     93     94    103    107    133    113     77     66     71     59    103    116     57     84     45 |      93 
SEAS       70    126    114     84     52     57     72    119    102     79    111     61    100    104     64     91     83    105     90     89     64     61 |      88 
EQAS      429     55     37     15     18    110     32     75     34    137     18     15     75     11     33     32     26     78    144     12     11     11 |      67 
AUST       92     81    147     97    140    137    131     93     52    120     85     51     88     33    119    122     66     86     71     51     74     46 |      93 
Global   2067   2493   1802   1593   1635   1955   1997   1727   1764   1776   1702   1687   1511   1684   1552   1788   1515   1722   1822   1568   1542   1092 |    1758 


Savanna, grassland, and shrubland fires: 

BONA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
TENA        2      3      4      6      2      4      3      3      4      5      5      4      3      3      5      5      2      3      5      4      4      5 |       4 
CEAM        7     45      9     20      6      8     17      4     17      9     10      9      9      8     15      6     11      6      7      8     10      8 |      12 
NHSA       17     23     14     19     18     13     22     18     13     12     19     13     15     14      8      9     10     17     15     19     11     13 |      16 
SHSA      140    145    141     60     90    129     94    116    123     69    160     72     43    159     56    108     54     67     82     80     94     27 |     100 
EURO        1      2      1      3      1      0      2      0      2      1      2      0      0      1      1      2      1      0      0      1      2      0 |       2 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHAF      308    381    323    333    294    308    288    261    311    246    271    282    247    222    253    229    245    230    229    272    243    138 |     275 
SHAF      413    484    414    385    489    402    436    427    449    421    414    436    437    468    455    417    443    409    406    403    421    287 |     430 
BOAS        2      2      1      1      1      0      2      3      1      4      0      3      1      1      1      1      0      1      1      0      0      0 |       2 
TEAS       17     15      9      9     10     22     13     15     15     16     12     11      8     15      9     10      5     12     14      7     14      5 |      13 
SEAS       36     68     50     42     31     33     39     64     51     39     59     32     42     47     28     40     32     43     39     34     30     29 |      42 
EQAS       69     18      9      4      5     23      9     18      6     20      7      6     10      5      6      6      6     11     20      4      3      2 |      13 
AUST       58     55    120     76    113     91     47     82     44     70     64     44     63     26    109    110     42     68     58     39     62     37 |      69 
Global   1077   1246   1100    964   1065   1038    978   1016   1041    916   1028    918    886    974    951    948    855    872    882    877    900    557 |     978 


Boreal forest fires: 

BONA       33    134     55     28     13    134     77    166    109     76     59     48     62    111     77     74    157    173    206     55    120     63 |      94 
TENA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
CEAM        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHSA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHSA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
EURO        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHAF        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHAF        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
BOAS      119    428    137    158    140    248    429     43     81    157     72    238     82     93    149    343    133    179    152    236    116    219 |     178 
TEAS       26     21      9     15      4     19     22      8      3     16     21     16     18      3      5     15      2      3     14      2      8      4 |      12 
