# Global Fire Emissions Database version 4.1 including small fire burned area (GFED4s)  
# Estimates for 2017 onwards based on relations between active fires and emissions  
# Estimates for 2018 for January - May, will be updated with ~1 month latency  
# NOx emissions estimates in 1E10 g NOx for the globe, different regions, and different fire types 

All fire types combined: 

                                                                               Year                                                                 (Beta) (Beta)  '97-'17  
Region   1997   1998   1999   2000   2001   2002   2003   2004   2005   2006   2007   2008   2009   2010   2011   2012   2013   2014   2015   2016   2017   2018 |    Mean 
BONA        6     20      8      5      3     17     10     19     13     10      7      6      8     14      9     10     19     22     25      7     17      0 |      13 
TENA        6      7     11     12      6     10      9      7      9     11     15     11      8      9     11     13      8      9     16     11     15      3 |      11 
CEAM       15    112     17     39     11     14     41     10     34     18     21     18     21     14     30     11     25     10     15     17     21     13 |      25 
NHSA       26     35     20     26     27     17     40     24     18     15     29     18     20     21     10     13     15     24     21     34     16     18 |      23 
SHSA      230    283    263    118    130    216    169    238    283    138    346    128     72    355    100    195     94    130    172    162    177     11 |     191 
EURO        4      5      3     12      7      3      6      4      5      4      6      5      3      3      4      7      3      2      2      3      6      0 |       5 
MIDE        0      1      1      1      1      0      1      1      1      1      1      0      1      1      1      1      1      1      1      1      1      0 |       1 
NHAF      385    492    406    428    368    386    353    325    396    314    344    351    307    279    318    287    305    287    292    349    304    172 |     347 
SHAF      490    574    490    459    602    497    529    525    552    518    497    530    530    570    549    502    540    496    496    494    511     23 |     522 
BOAS       30     71     28     30     27     38     67     17     21     44     18     54     21     29     27     47     18     36     28     33     19     11 |      34 
TEAS       48     44     29     27     36     47     31     40     41     42     39     47     38     36     26     27     21     41     44     23     36     10 |      37 
SEAS       58    119     92     70     46     53     61    114     87     66    110     51     79     95     54     75     71     89     76     72     54     51 |      76 
EQAS      423     64     41     17     16    112     32     80     33    134     17     14     72     11     32     32     26     80    146     13     11      2 |      68 
AUST       75     70    146     93    138    117     75     98     54     93     79     53     81     32    129    130     55     84     72     49     75     26 |      86 
Global   1803   1906   1561   1343   1424   1533   1432   1509   1553   1417   1537   1294   1267   1477   1308   1358   1207   1318   1413   1274   1268    347 |    1439 


Savanna, grassland, and shrubland fires: 

BONA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
TENA        3      3      4      7      2      5      3      3      5      6      5      5      4      3      6      6      3      3      6      5      5      2 |       5 
CEAM        9     51     10     23      7      9     20      5     19     10     11     11     11      9     17      7     13      6      8      9     12      8 |      14 
NHSA       20     26     17     22     21     15     26     20     15     13     22     15     17     16      9     11     12     19     17     21     13     14 |      18 
SHSA      160    166    161     68    103    148    108    133    141     79    183     82     49    183     64    124     62     77     94     91    108      7 |     114 
EURO        1      2      1      4      1      1      2      1      3      1      2      0      1      1      1      2      1      0      1      1      2      0 |       2 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       1 
NHAF      354    437    371    382    337    353    330    299    357    282    311    323    283    255    290    263    281    264    263    312    278    156 |     316 
SHAF      474    555    475    441    561    461    500    490    515    483    475    500    501    536    522    478    508    469    466    462    483     21 |     494 
BOAS        2      2      1      1      1      0      2      3      1      4      0      4      2      1      1      1      0      1      1      0      1      0 |       2 
TEAS       20     17     10     11     11     25     15     17     17     18     14     12     10     17     10     12      6     14     16      8     16      3 |      15 
SEAS       41     78     57     48     35     38     45     73     58     45     67     37     49     54     33     46     36     49     44     40     34     33 |      49 
EQAS       80     20     10      4      6     26     10     20      7     23      8      7     12      6      7      7      6     12     23      4      4      0 |      15 
AUST       66     63    138     88    130    104     54     94     50     81     74     51     73     30    125    126     48     78     67     45     71     24 |      79 
Global   1235   1430   1261   1106   1222   1191   1122   1166   1195   1051   1179   1053   1016   1118   1090   1088    981   1000   1011   1006   1033    273 |    1122 


Boreal forest fires: 

BONA        3     14      5      3      1     14      8     17     11      8      6      5      6     11      8      7     16     18     22      5     12      0 |      10 
TENA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
CEAM        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
