# Global Fire Emissions Database version 4.1 including small fire burned area (GFED4s)  
# Estimates for 2017 onwards based on relations between active fires and emissions  
# Estimates for 2018 for January - September 21, will be updated with ~1 month latency  
# SO2 emissions estimates in 1E9 g SO2 for the globe, different regions, and different fire types 

All fire types combined: 

                                                                               Year                                                                 (Beta) (Beta)  '97-'17  
Region   1997   1998   1999   2000   2001   2002   2003   2004   2005   2006   2007   2008   2009   2010   2011   2012   2013   2014   2015   2016   2017   2018 |    Mean 
BONA       57    196     81     43     25    186    113    223    150    108     82     66     88    159    106    105    215    243    284     80    178     96 |     133 
TENA       15     19     33     31     15     29     24     16     19     29     46     33     19     19     27     41     26     29     51     29     50     31 |      29 
CEAM       20    159     24     53     15     20     57     13     47     26     29     27     28     19     42     17     35     13     20     24     29     21 |      35 
NHSA       33     46     26     34     35     21     54     30     23     19     38     23     25     28     12     17     19     30     28     45     20     25 |      29 
SHSA      317    397    370    170    175    296    238    337    402    195    489    179    102    503    142    270    133    183    243    229    249     69 |     268 
EURO        8      9      6     18      9      5     10      6      9      7      9      7      5      5      7     12      5      4      4      5     10      2 |       8 
MIDE        0      2      1      1      1      1      1      1      1      1      2      1      2      2      1      2      1      1      2      1      1      0 |       2 
NHAF      478    617    506    536    458    481    439    404    493    391    429    435    381    347    397    357    378    356    365    437    378    218 |     432 
SHAF      607    712    606    568    750    621    660    655    689    646    618    661    660    710    683    624    673    618    620    618    636    437 |     650 
BOAS      186    601    206    227    205    350    596     79    125    255    112    357    130    168    213    468    182    264    217    323    164    300 |     259 
TEAS      114    104     68     61     64     91     74     76     66     83     86     94     89     66     54     62     42     72     86     40     63     33 |      75 
SEAS       85    172    148    108     70     74     92    165    126    102    159     77    123    144     80    119    110    140    111    111     80     79 |     115 
EQAS      861     96     69     27     29    208     57    141     65    279     26     20    152     16     63     62     49    165    307     21     17     20 |     130 
AUST      123    109    201    133    191    186    175    126     70    161    117     70    121     44    164    169     90    119     98     70    100     62 |     126 
Global   2911   3247   2350   2017   2049   2575   2597   2279   2292   2310   2248   2061   1933   2235   1999   2331   1964   2245   2441   2041   1984   1401 |    2291 


Savanna, grassland, and shrubland fires: 

BONA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
TENA        4      4      6      8      3      6      4      4      6      7      7      6      4      4      7      7      3      4      7      6      6      8 |       6 
CEAM       11     63     13     29      8     11     25      7     24     12     14     13     14     11     21      9     16      8      9     12     15     11 |      17 
NHSA       24     32     21     27     25     18     32     25     18     16     27     19     21     19     11     14     15     24     21     26     16     19 |      22 
SHSA      197    204    199     84    127    182    134    164    174     97    225    101     61    225     79    152     77     95    116    113    133     38 |     141 
EURO        2      3      1      5      1      1      3      1      3      1      3      1      1      1      1      2      1      0      1      2      3      0 |       2 
MIDE        0      1      0      1      0      0      0      0      0      0      1      0      0      0      0      0      0      0      0      0      0      0 |       1 
NHAF      435    538    456    470    415    434    406    368    440    347    383    398    348    314    357    324    346    325    324    385    343    195 |     389 
