# Global Fire Emissions Database version 4.1 including small fire burned area (GFED4s)  
# Estimates for 2017 onwards based on relations between active fires and emissions  

# NOTE THAT AQUA HAD ISSUES IN THE SECOND HALF OF AUGUST 2020; FOR THAT PERIOD THESE ESTIMATES ARE CONSERVATIVE  

# TPC emissions estimates in 1E10 g TPC for the globe, different regions, and different fire types 

All fire types combined: 

                                                                               Year                                                                 (Beta) (Beta) (Beta) (Beta) (Beta)  '97-'20  
Region   1997   1998   1999   2000   2001   2002   2003   2004   2005   2006   2007   2008   2009   2010   2011   2012   2013   2014   2015   2016   2017   2018   2019   2020   2021 |    Mean 
BONA       53    181     75     39     23    173    106    206    139    101     77     62     82    147     99     98    200    228    265     75    346    171    186     22    545 |     132 
TENA       12     15     28     26     13     24     20     13     15     24     39     28     15     15     22     35     22     25     44     24     59     60     12    145    129 |      31 
CEAM       16    154     19     44     12     16     54     10     41     22     25     23     25     14     36     13     32     10     17     21     26     18     30     26     19 |      30 
NHSA       25     36     19     25     27     15     47     22     16     13     30     17     18     22      8     12     14     22     21     40     13     26     40     31     11 |      24 
SHSA      268    368    334    156    135    254    210    319    400    181    476    156     84    495    125    240    114    167    230    214    232    117    245    317    256 |     244 
EURO        6      7      5     14      7      4      8      5      6      6      7      6      4      3      6      9      3      3      3      4     10      3      5      4      7 |       6 
MIDE        0      1      1      1      0      0      1      1      1      1      1      0      1      1      1      1      1      1      1      1      1      0      1      1      2 |       1 
NHAF      312    424    337    364    302    318    287    264    326    258    285    283    249    226    263    234    247    234    245    296    242    247    196    242    216 |     279 
SHAF      386    453    384    365    496    413    434    434    457    429    402    437    435    470    447    407    446    408    411    412    408    400    414    369    409 |     422 
BOAS      168    548    187    207    186    321    545     69    113    229    101    322    117    152    194    430    167    240    198    297    221    366    475    414    808 |     262 
TEAS       94     87     57     50     50     71     61     62     50     66     70     77     75     53     43     50     34     57     68     31     51     32     38     37     28 |      57 
SEAS       67    147    127     88     55     59     73    142    104     84    140     61    105    130     69    103    101    126     97     99     65     70     95     96     97 |      96 
EQAS     1127    108     82     31     34    261     68    173     83    369     26     20    202     15     80     80     61    219    409     24     16     66    238     12     10 |     159 
AUST       89     77    135     90    129    133    143     82     47    119     80     46     86     29    106    110     66     82     67     49     71     87    331    109     42 |      99 
Global   2631   2614   1795   1507   1476   2069   2063   1808   1806   1908   1768   1547   1503   1780   1504   1829   1514   1827   2083   1592   1768   1670   2312   1830   2586 |    1842 


Savanna, grassland, and shrubland fires: 

BONA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
TENA        2      3      3      5      2      4      3      2      3      4      4      3      3      2      4      4      2      2      4      4      6     11      3     12      8 |       4 
