# Global Fire Emissions Database version 4.1 including small fire burned area (GFED4s)  
# Estimates for 2017 onwards based on relations between active fires and emissions  

# NOTE THAT AQUA HAD ISSUES IN THE SECOND HALF OF AUGUST 2020; FOR THAT PERIOD THESE ESTIMATES ARE CONSERVATIVE  

# TPM emissions estimates in 1E10 g TPM for the globe, different regions, and different fire types 

All fire types combined: 

                                                                               Year                                                                 (Beta) (Beta) (Beta) (Beta) (Beta)  '97-'20  
Region   1997   1998   1999   2000   2001   2002   2003   2004   2005   2006   2007   2008   2009   2010   2011   2012   2013   2014   2015   2016   2017   2018   2019   2020   2021 |    Mean 
BONA       95    325    134     73     42    306    188    363    246    178    136    109    145    260    174    176    354    404    468    134    607    300    327     40    958 |     233 
TENA       28     34     58     55     29     50     44     32     37     52     80     59     37     40     51     71     46     51     90     53    117    122     30    276    242 |      65 
CEAM       47    411     55    125     34     47    147     33    115     63     71     62     71     42    100     36     88     31     49     59     73     50     85     73     54 |      83 
NHSA       72    101     53     70     76     42    127     62     46     39     84     48     52     62     24     34     39     63     59    108     39     74    109     88     31 |      66 
SHSA      709    961    873    405    364    670    551    829   1033    475   1234    413    224   1280    328    633    301    438    600    561    600    308    643    826    678 |     636 
EURO       19     20     15     45     26     12     23     17     19     18     22     20     12     12     18     27     12     11      9     13     28     11     15     12     20 |      19 
MIDE        2      5      3      3      3      3      3      4      3      3      5      3      5      6      4      4      4      4      6      4      5      2      4      4      9 |       4 
NHAF      905   1208    967   1041    871    916    823    764    947    752    825    823    720    659    758    679    715    675    705    847    698    713    568    699    626 |     804 
SHAF     1105   1295   1100   1040   1410   1175   1230   1232   1296   1218   1141   1235   1230   1328   1267   1155   1260   1153   1162   1162   1153   1131   1173   1045   1160 |    1196 
BOAS      324   1007    351    387    350    580    995    144    223    450    199    620    227    299    361    772    299    452    368    533    401    655    848    739   1430 |     483 
TEAS      228    209    138    125    147    186    146    165    151    174    181    210    188    139    112    125     94    163    186     90    148     90    109    102     78 |     151 
