# Global Fire Emissions Database version 4.1 including small fire burned area (GFED4s)  
# Estimates for 2017 onwards based on relations between active fires and emissions  
# Toluene_lump emissions estimates in 1E9 g Toluene_lump for the globe, different regions, and different fire types 

All fire types combined: 

                                                                               Year                                                                 (Beta) (Beta)  '97-'18  
Region   1997   1998   1999   2000   2001   2002   2003   2004   2005   2006   2007   2008   2009   2010   2011   2012   2013   2014   2015   2016   2017   2018 |    Mean 
BONA       80    309    130     67     35    311    198    357    249    176    137    109    139    253    174    185    369    423    481    138    273    146 |     216 
TENA        9     11     18     17      9     15     14     10     11     16     25     18     11     13     16     22     14     16     28     16     27     22 |      17 
CEAM       18    183     21     49     13     18     65     12     48     25     29     24     29     15     41     13     37     11     20     24     28     21 |      34 
NHSA       27     40     19     26     29     14     54     22     16     13     33     17     18     24      8     12     14     23     22     46     14     25 |      24 
SHSA      291    424    377    175    138    279    233    370    478    209    565    173     88    589    137    271    123    190    268    248    259    149 |     275 
EURO        6      6      4     15      8      4      7      5      6      6      7      6      4      3      5      9      3      3      2      4      7      3 |       6 
MIDE        0      1      1      1      1      1      1      1      1      1      1      1      1      1      1      1      1      1      2      1      1      0 |       1 
NHAF      298    420    326    359    291    307    272    252    316    251    277    270    237    217    254    225    236    224    239    290    240    243 |     275 
SHAF      356    417    353    339    473    397    412    415    437    411    376    415    412    447    422    383    425    387    393    394    395    390 |     403 
BOAS      261    888    295    339    309    515    902    107    186    352    162    518    189    236    312    712    280    382    317    497    240    457 |     385 
TEAS      109     96     57     60     54     85     76     67     54     77     86     89     84     51     43     60     33     58     79     32     56     36 |      66 
SEAS       66    157    124     87     51     61     69    152    106     82    154     59    105    140     73    105    110    131    106    104     71     77 |     100 
EQAS     4792    194    215     58    132    954    231    562    347   1603     51     42    903     24    329    326    227    920   1794     62     47    192 |     637 
AUST       68     61    115     75    110    104     95     73     43     89     65     41     72     25     95     98     52     69     59     41     59     71 |      72 
Global   6389   3214   2062   1672   1661   3072   2637   2413   2305   3318   1974   1793   2300   2046   1917   2427   1931   2846   3817   1904   1724   1838 |    2512 


Savanna, grassland, and shrubland fires: 

BONA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
TENA        2      2      3      5      1      3      2      2      3      4      4      3      2      2      4      4      2      2      4      3      3      5 |       3 
CEAM        6     35      7     16      5      6     14      3     13      7      8      7      7      6     11      5      9      4      5      6      8      6 |       9 
NHSA       14     18     11     15     14     10     18     14     10      9     15     10     11     11      6      7      8     13     12     15      9     13 |      12 
SHSA      111    115    112     47     71    102     75     92     98     55    127     57     34    126     44     86     43     53     65     63     75     44 |      78 
EURO        1      1      0      2      0      0      2      0      2      0      1      0      0      0      0      1      0      0      0      1      1      0 |       1 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHAF      245    302    256    264    233    244    228    207    247    195    215    224    196    176    201    182    195    183    182    216    193    196 |     218 
SHAF      328    384    328    305    388    319    346    339    356    334    328    346    347    371    361    331    351    324    322    320    334    329 |     341 
BOAS        1      1      1      1      1      0      1      2      1      3      0      2      1      1      1      0      0      1      1      0      0      0 |       1 
TEAS       14     12      7      7      8     17     10     12     12     13      9      8      7     12      7      8      4     10     11      5     11      5 |      10 
SEAS       28     54     39     33     24     26     31     51     40     31     47     25     33     38     22     31     25     34     31     27     24     25 |      33 
EQAS       55     14      7      3      4     18      7     14      5     16      5      5      8      4      5      4      4      8     16      3      2      5 |      10 
AUST       46     44     95     61     90     72     37     65     35     56     51     35     50     21     86     87     33     54     46     31     49     59 |      55 
Global    855    990    873    765    846    824    776    807    827    728    816    729    703    774    755    753    679    692    700    696    716    693 |     773 


Boreal forest fires: 

BONA       64    259    106     55     25    259    149    322    211    148    115     93    120    215    150    143    305    335    398    107    233    126 |     180 
TENA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
CEAM        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHSA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHSA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
EURO        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHAF        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHAF        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
BOAS      230    830    265    307    271    480    832     84    158    304    140    462    160    180    289    665    258    348    295    458    223    428 |     349 
TEAS       52     41     18     29      9     38     43     17      6     31     41     31     35      7     10     29      4      7     28      4     15      9 |      23 
SEAS        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
EQAS        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
AUST        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
Global    347   1130    390    392    306    779   1025    424    376    485    297    591    315    402    450    839    568    690    722    570    473    564 |     552 


Temperate forest fires: 

BONA        6      6      3      1      3      2      3      0      1      2      1      1      2      4      1      1      1      4      3      2      7      6 |       3 
TENA        4      5     12     10      4     10      8      4      5      9     17     11      5      4      8     15      9     10     19      9     19     13 |      10 
CEAM        0      3      1      1      0      0      0      0      0      1      1      1      0      0      1      1      0      0      0      0      0      0 |       1 
NHSA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHSA        8      7      9      6      4      6      7      6      4      4      5      5      5      5      4      5      5      4      4      4      5      3 |       6 
EURO        1      1      1      1      0      0      1      0      1      1      1      0      0      0      1      1      0      0      0      0      2      0 |       1 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHAF        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHAF        0      1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      1 |       1 
BOAS        5      4      4      1      2      5      1      2      1      8      1      3      3     12      1      1      0      3      1      1      1      2 |       3 
TEAS       13     14     12      6      7      5      5      8      6      6      6     10     12     10      8      5      7      9      8      5      5      5 |       8 
SEAS        6      8     17     10      7      3      8      8      8      9      7      6     12     10      5     11      8     13      6      9      5      6 |       9 
EQAS        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
AUST       19     13     12     11     12     25     51      3      2     28     11      2     12      2      2      4     13      9      5      6      4      4 |      12 
Global     65     66     75     50     44     61     89     36     31     72     55     44     55     52     36     49     48     56     49     40     54     44 |      54 


Tropical deforestation & degradation: 

BONA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
TENA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
CEAM        8    128      8     23      5      8     45      3     28     11     14     10     16      4     23      3     22      4     10     12     14     10 |      19 
NHSA       11     19      6      9     12      3     34      6      4      2     15      5      4     12      1      3      4      8      9     30      4     10 |      10 
SHSA      161    291    244    114     56    162    143    263    368    143    423    103     40    449     82    171     66    125    190    171    172     96 |     184 
EURO        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHAF       24     86     42     65     32     35     25     21     34     26     33     19     19     17     29     20     19     22     34     49     26     27 |      33 
SHAF       12     12      8     19     60     57     50     56     59     58     34     55     52     60     46     37     58     49     56     60     45     44 |      45 
BOAS        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
TEAS        3      4      3      1      1      0      2      6      2      1      2      1      2      4      0      0      0      1      0      0      0      0 |       2 
SEAS       23     84     57     36     16     26     24     83     46     34     91     21     48     83     37     53     66     74     57     56     33     37 |      50 
EQAS      648    106     71     31     17    175     44    128     47    208     20     13    108     10     44     47     39    133    232     18     16     44 |     100 
AUST        1      2      4      2      4      4      5      3      3      3      1      2      7      0      4      4      5      5      7      2      3      5 |       4 
Global    894    736    447    303    208    474    376    573    595    490    638    234    300    641    269    343    285    424    598    403    317    276 |     447 


Peat fires: 

BONA        9     39     19      8      5     47     44     33     35     24     20     14     16     32     22     38     62     83     78     27     31     13 |      32 
TENA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
CEAM        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHSA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHSA        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
EURO        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
MIDE        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
NHAF        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SHAF        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
BOAS        7     24      9     15     21     17     43      5     11      9      6     18     12     25      7     32     17     10      7     29      7     18 |      16 
TEAS        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
SEAS        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
EQAS     4070     69    133     22    108    753    177    416    292   1373     23     21    783      7    277    272    181    775   1542     39     27    141 |     523 
AUST        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 |       0 
Global   4087    133    162     46    136    818    265    455    340   1407     50     54    811     66    307    344    261    870   1628     96     65    173 |     572 


Agricultural waste burning: 

BONA        0      3      0      2      0      0      0      0      0      0      0      0      0      0      0      1      0      1      0      0      0      0 |       1 
TENA        2      2      2      2      2      1      3      3      3      2      3      3      3      6      3      2      2      2      4      3      3      2 |       3 
CEAM        3     16      4      8      2      3      6      5      6      5      5      4      5      4      5      2      5      2      4      4      4      3 |       5 
NHSA        1      2      1      1      2      1      1      1      1      1      2      1      2      1      0      1      1      1      1      1      1      1 |       2 
SHSA       10     10     11      6      5      7      7      8      6      7      8      7      7      7      6      8      8      6      7      8      6      4 |       8 
EURO        3      3      2     10      7      2      3      4      3      3      4      5      2      2      3      5      2      2      1      2      3      2 |       4 
MIDE        0      1      0      0      0      0      0      0      0      0      1      0      1      1      1      0      1      0      1      1      0      0 |       1 
NHAF       29     31     26     28     25     26     18     23     34     28     28     27     22     23     23     22     21     18     22     24     21     20 |      25 
SHAF       15     18     15     13     23     20     14     18     20     18     13     13     12     14     13     13     13     12     12     12     14     15 |      16 
BOAS       17     27     14     13     12     11     23     11     13     26     12     31     11     17     12     11      3     18     12      8      7      7 |      15 
TEAS       26     23     16     15     28     24     14     22     27     25     26     37     27     17     15     15     16     29     31     16     22     15 |      23 
SEAS        7     10      9      7      2      4      5      8     11      6      7      5     11      8      7      8      9     10     11     10      7      8 |       8 
EQAS       17      3      2      1      1      6      2      4      2      5      2      2      3      1      2      1      1      2      2      0      1      1 |       3 
AUST        1      1      2      1      2      1      1      2      1      1      0      0      1      1      2      1      0      1      1      0      2      1 |       2 
Global    139    156    112    114    120    113    104    116    133    135    115    140    113    109     98     97     88    112    117     96     97     86 |     114 

